extracted_date,text,RIGNUM,JOBNUM,JobType,SYSTEM,COMPONENT,column_basic_processing,negative_tokens_,positive_lists_,neutral_lists_,negative_pos_,positive_pos_,neutral_pos_,taxo_token_treat_text,number_of_positive,number_of_negative,number_of_neutral,combined_neu_pos_neg,sentence_lenght,predicted_score_khat_bayes,predicted_score_khat,predicted_score_PMI,predicted_score_khat_bayes_sclaed_neutral
2017-07-13 01:41:11, the impeller has been arrived and recevid from the store and it installed on mud pump #1 A with a new AC motor all check the notes of Job # 165253 this job can be cloased----------,222,2220014154136,Corrective,HPMS,MTR,the impeller has been arrived and recevid from the store and it installed on mud pump a with a new ac motor all check the notes of job this job can be cloased,"[('can', 'be')]","[('has', 'been'), ('new', 'ac', 'motor')]","[('the', 'impeller'), ('the', 'store'), ('new', 'ac'), ('this', 'job')]","[('MD', 'VB')]","[('VBZ', 'VBN'), ('JJ', 'NN', 'NN')]","[('DT', 'NN'), ('DT', 'NN'), ('JJ', 'NN'), ('DT', 'NN')]",the impeller has_been_arrived and recevid from the store and it installed on mud pump a with a new ac motor all check the notes of job this job can be cloased,2,0,0,"[0, 2, 0]",31,0.01867145797555023,0.018671457975550206,0.2966890900921183,0.018671
2016-10-29 06:35:58, Parts Requested from ICS:----------,222,2220014154136,Corrective,HPMS,MTR,parts requested from ics,"[('parts', 'requested')]",[],[],"[('NNS', 'VBD')]",[],[],parts_requested from ics,0,1,0,"[0, 0, 1]",3,-0.38710340231833723,-0.38710340231833884,-6.691001883100345,-0.387103
2016-10-28 01:51:29, Mud Pump blower motors impellor requested for spare motor sitting in workshop. Need to be replaced when arrives and to be stored in Thruster 3. Quote attached.,222,2220014154136,Corrective,HPMS,MTR,mud pump blower motors impellor requested for spare motor sitting in workshop need to be replaced when arrives and to be stored in thruster quote attached,"[('to', 'be', 'replaced'), ('to', 'be', 'stored'), ('quote', 'attached')]","[('for', 'spare', 'motor')]","[('spare', 'motor')]","[('TO', 'VB', 'VBN'), ('TO', 'VB', 'VBN'), ('NN', 'VBD')]","[('IN', 'JJ', 'NN')]","[('JJ', 'NN')]",mud pump blower motors impellor requested for spare motor sitting in workshop need to_be_replaced when arrives and to_be_stored in thruster quote attached,0,3,0,"[0, 0, 3]",22,-0.01940079586622458,-0.01940079586622467,-0.3919786507733595,-0.019401
2017-01-07 07:50:08, 1. Confirm the correct operation and accuracy of the Mud Pump stroke measuring and monitoring system. (Transfered from one pit to the other 100bbls to confirm the stroke counter and pit levelizer are working as designed. This was done at the start of the new well. For the company man.) 2. Confirm the correct operation and accuracy of the Mud Pump pressure monitoring system. Check the operation and calibration date of the mud pump pressure gauges at the mud pump mud manifold and drillers console.( The system has multiple guages that read very close to the same. Only a small discrepency. The ET's keep the guages calibrated and the Fiscal checks each well.) 3. Confirm that the Standpipe manifold has been pressure tested as per the requirements of the well control handbook. (The stand pipe is pressure tested every new well and every 21 days of possible. Good test. There is also a PM for this job. Test charts are inserted into that job.) 4. Confirm the availability and test capability of the HP mud system to supply mud. (The charging pumps supply the mud from the active pits to the pumps at a pressure of 3 Bar. All gauges are checked and certified by Shimmer) 5. Confirm that the pulsation damper has been precharged using nitrogen in accordance with OEM recommendations.( Each pump is set @ 1900psi. But this is changed according to the pump pressure required for drilling. All has tested good by Shimmer.) 6. If equipped make sure barring disconnect switch prevents mud pump from starting. (Yes this is a switch on the side of all pump if the door is open the pump will not run.) 7. If drilling control system is fitted with a mud pump/IBOP close interlock. With no pumps running close IBOP and attempt to start mud pump. (This is a check the driller makes and if he forgets the Ibop is closed the pump will not start),222,2220014156263,Prevent Maint,HPMS,MTR,confirm the correct operation and accuracy of the mud pump stroke measuring and monitoring system transfered from one pit to the other bbls to confirm the stroke counter and pit levelizer are working as designed this was done at the start of the new well for the company man confirm the correct operation and accuracy of the mud pump pressure monitoring system check the operation and calibration date of the mud pump pressure gauges at the mud pump mud manifold and drillers console the system has multiple guages that read very close to the same only a small discrepency the ets keep the guages calibrated and the fiscal checks each well confirm that the standpipe manifold has been pressure tested as per the requirements of the well control handbook the stand pipe is pressure tested every new well and every days of possible good test there is also a pm for this job test charts are inserted into that job confirm the availability and test capability of the hp mud system to supply mud the charging pumps supply the mud from the active pits to the pumps at a pressure of bar all gauges are checked and certified by shimmer confirm that the pulsation damper has been precharged using nitrogen in accordance with oem recommendations each pump is set psi but this is changed according to the pump pressure required for drilling all has tested good by shimmer if equipped make sure barring disconnect switch prevents mud pump from starting yes this is a switch on the side of all pump if the door is open the pump will not run if drilling control system is fitted with a mud pump ibop close interlock with no pumps running close ibop and attempt to start mud pump this is a check the driller makes and if he forgets the ibop is closed the pump will not start,"[('pump', 'stroke'), ('system', 'transfered'), ('control', 'handbook')]","[('has', 'been'), ('has', 'been'), ('is', 'set'), ('is', 'changed'), ('has', 'tested'), ('is', 'fitted'), ('is', 'closed')]","[('correct', 'operation'), ('the', 'mud'), ('other', 'bbls'), ('the', 'stroke'), ('are', 'working'), ('the', 'start'), ('new', 'well'), ('the', 'company'), ('correct', 'operation'), ('the', 'mud'), ('the', 'operation'), ('the', 'mud'), ('the', 'mud'), ('the', 'system'), ('has', 'multiple'), ('small', 'discrepency'), ('the', 'standpipe'), ('been', 'pressure'), ('the', 'well'), ('the', 'stand'), ('new', 'well'), ('good', 'test'), ('a', 'pm'), ('this', 'job'), ('that', 'job'), ('the', 'availability'), ('the', 'hp'), ('the', 'mud'), ('a', 'pressure'), ('the', 'pulsation'), ('each', 'pump'), ('pump', 'pressure'), ('disconnect', 'switch'), ('a', 'switch'), ('the', 'side'), ('all', 'pump'), ('the', 'door'), ('is', 'open'), ('the', 'pump'), ('a', 'mud'), ('close', 'interlock'), ('close', 'ibop'), ('a', 'check'), ('the', 'driller'), ('the', 'ibop'), ('the', 'pump')]","[('NN', 'VBD'), ('NN', 'VBD'), ('NN', 'VBD')]","[('VBZ', 'VBN'), ('VBZ', 'VBN'), ('VBZ', 'VBN'), ('VBZ', 'VBN'), ('VBZ', 'VBN'), ('VBZ', 'VBN'), ('VBZ', 'VBN')]","[('JJ', 'NN'), ('DT', 'NN'), ('JJ', 'NN'), ('DT', 'NN'), ('VBP', 'VBG'), ('DT', 'NN'), ('JJ', 'NN'), ('DT', 'NN'), ('JJ', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('VBZ', 'JJ'), ('JJ', 'NN'), ('DT', 'NN'), ('VBN', 'RB'), ('DT', 'NN'), ('DT', 'NN'), ('JJ', 'NN'), ('JJ', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('JJ', 'NN'), ('JJ', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('VBZ', 'JJ'), ('DT', 'NN'), ('DT', 'NN'), ('JJ', 'NN'), ('JJ', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN')]",confirm the correct operation and accuracy of the mud pump stroke measuring and monitoring system transfered from one pit to the other bbls to confirm the stroke counter and pit levelizer are working as designed this was done at the start of the new well for the company man confirm the correct operation and accuracy of the mud pump pressure monitoring system check the operation and calibration date of the mud pump pressure gauges at the mud pump mud manifold and drillers console the system has multiple guages that read very close to the_same only a small_discrepency the ets keep the guages calibrated and the fiscal checks each well confirm that the standpipe manifold has_been pressure_tested as per the requirements of the well control handbook the stand pipe is pressure_tested every new well and every days of possible good_test there is also a_pm for this job test charts are inserted into that job confirm the availability and test capability of the hp mud system to supply mud the charging pumps supply the mud from the active pits to the pumps at a pressure of bar all gauges are_checked and certified by shimmer confirm that the pulsation damper has_been precharged using nitrogen_in_accordance with oem recommendations each pump is_set psi but this is_changed according to the pump pressure required for drilling all has_tested good by shimmer if equipped make sure barring disconnect switch prevents mud pump from starting yes this is a switch on the side of all pump if the door is_open the pump will not run if drilling control system is_fitted with a mud pump ibop close interlock with no pumps running close ibop and attempt to start mud pump this is a check the driller makes and if he forgets the ibop is_closed the pump will not start,8,2,15,"[15, 8, 2]",299,0.00519267276533603,0.00901934450086349,0.7142278930426067,0.000346
2017-09-16 15:35:11, Louvers received and replaced the damaged one in MP 2 & MP 4 blower. All others are in good condition. So kept the remaining TWO in work shop for future immediate use.----------,222,2220014157698,Corrective,HPMS,MTR,louvers received and replaced the damaged one in mp mp blower all others are in good condition so kept the remaining two in work shop for future immediate use,"[('louvers', 'received')]","[('in', 'good', 'condition'), ('for', 'future', 'immediate')]","[('good', 'condition'), ('future', 'immediate')]","[('NNS', 'VBD')]","[('IN', 'JJ', 'NN'), ('IN', 'JJ', 'NN')]","[('JJ', 'NN'), ('JJ', 'NN')]",louvers_received and replaced the damaged one in mp mp blower all others are in_good_condition so kept the remaining two in work shop for future immediate use,2,1,1,"[1, 2, 1]",26,-0.011613601739745863,-0.011613601739745977,0.2119219667484644,-0.011614
2017-09-06 16:07:43, The louvres ordered on this job have been ordered to replace the repaired one on mud pump #2 drive motor blower. The existing one was repaired but the remaining ones are not in good shape,222,2220014157698,Corrective,HPMS,MTR,the louvres ordered on this job have been ordered to replace the repaired one on mud pump drive motor blower the existing one was repaired but the remaining ones are not in good shape,"[('motor', 'blower')]","[('have', 'been', 'ordered'), ('in', 'good', 'shape')]","[('this', 'job'), ('repaired', 'one'), ('good', 'shape')]","[('NN', 'VBD')]","[('VBP', 'VBN', 'VBN'), ('IN', 'JJ', 'NN')]","[('DT', 'NN'), ('JJ', 'NN'), ('JJ', 'NN')]",the louvres ordered on this job have_been_ordered to replace the repaired one on mud pump drive motor blower the existing one was_repaired but the remaining ones are not_in_good_shape,3,3,0,"[0, 3, 3]",28,-0.0038712310245953225,-0.0038712310245953637,0.1148954821278121,-0.003871
2017-09-06 16:07:43, The louvres ordered on this job have been ordered to replace the repaired one on mud pump #2 drive motor blower. The existing one was repaired but the remaining ones are not in good shape----------,222,2220014157698,Corrective,HPMS,MTR,the louvres ordered on this job have been ordered to replace the repaired one on mud pump drive motor blower the existing one was repaired but the remaining ones are not in good shape,"[('motor', 'blower')]","[('have', 'been', 'ordered'), ('in', 'good', 'shape')]","[('this', 'job'), ('repaired', 'one'), ('good', 'shape')]","[('NN', 'VBD')]","[('VBP', 'VBN', 'VBN'), ('IN', 'JJ', 'NN')]","[('DT', 'NN'), ('JJ', 'NN'), ('JJ', 'NN')]",the louvres ordered on this job have_been_ordered to replace the repaired one on mud pump drive motor blower the existing one was_repaired but the remaining ones are not_in_good_shape,3,3,0,"[0, 3, 3]",28,-0.0038712310245953225,-0.0038712310245953637,0.1148954821278121,-0.003871
2017-01-11 10:47:09, Parts Requested from ICS:,222,2220014157698,Corrective,HPMS,MTR,parts requested from ics,"[('parts', 'requested')]",[],[],"[('NNS', 'VBD')]",[],[],parts_requested from ics,0,1,0,"[0, 0, 1]",3,-0.38710340231833723,-0.38710340231833884,-6.691001883100345,-0.387103
2017-01-11 20:53:38, 1. Visually examine AC Motor blower vent for conditions listed below: damage NO DAMAGE ON THE VENT dirt DIRT CLEANED debris build up NO DEBRIS BUILD UP 2. If fitted clean or replace filter/screen as required. SCREEN CLEANED 3. If fitted visually examine spark arrester for damage. NOT FITTED 4. Make sure that the duct work is free from conditions listed below: rust NO RUST dirt DIRT CLEANED leaks NO LEAKS damage NO DAMAGE 5. If fitted remove plug and drain the housing for the demister/moisture separator. NOT APPLICABLE 6. Visually examine ducting for water leaks. NOT APPLICABLE,222,2220014157724,Prevent Maint,HPMS,MTR,visually examine ac motor blower vent for conditions listed below damage no damage on the vent dirt dirt cleaned debris build up no debris build up if fitted clean or replace filter screen as required screen cleaned if fitted visually examine spark arrester for damage not fitted make sure that the duct work is free from conditions listed below rust no rust dirt dirt cleaned leaks no leaks damage no damage if fitted remove plug and drain the housing for the demister moisture separator not applicable visually examine ducting for water leaks not applicable,"[('vent', 'for', 'conditions'), ('dirt', 'cleaned'), ('dirt', 'cleaned')]","[('examine', 'ac', 'motor'), ('examine', 'spark', 'arrester')]","[('examine', 'ac'), ('no', 'damage'), ('the', 'vent'), ('no', 'debris'), ('fitted', 'clean'), ('required', 'screen'), ('fitted', 'visually'), ('examine', 'spark'), ('the', 'duct'), ('is', 'free'), ('no', 'rust'), ('leaks', 'damage'), ('no', 'damage'), ('fitted', 'remove'), ('the', 'housing'), ('the', 'demister'), ('examine', 'ducting')]","[('NN', 'IN', 'NNS'), ('NN', 'VBD'), ('NN', 'VBD')]","[('JJ', 'NN', 'NN'), ('JJ', 'NN', 'NN')]","[('JJ', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('VBN', 'NN'), ('VBN', 'NN'), ('VBN', 'RB'), ('JJ', 'NN'), ('DT', 'NN'), ('VBZ', 'JJ'), ('DT', 'NN'), ('JJ', 'NN'), ('DT', 'NN'), ('VBN', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('VBP', 'VBG')]",visually_examine ac motor blower vent for conditions listed below_damage no_damage on the vent dirt dirt_cleaned debris build up no_debris build up if fitted clean or replace filter screen as required screen cleaned if fitted visually_examine spark arrester for damage not fitted make sure that the duct work is free from conditions listed below_rust no rust dirt dirt_cleaned leaks no leaks damage no_damage if fitted remove plug and drain the housing for the demister moisture separator not applicable visually_examine ducting for water leaks not applicable,2,1,12,"[12, 2, 1]",84,0.03020367663545635,0.053432934579944615,0.3311189464861873,0.002517
2017-01-11 20:56:20, 1. Visually examine AC Motor blower vent for conditions listed below: damage NO DAMAGE ON THE VENT dirt DIRT CLEANED debris build up NO DEBRIS BUILD UP 2. If fitted clean or replace filter/screen as required. SCREEN CLEANED 3. If fitted visually examine spark arrester for damage. NOT FITTED 4. Make sure that the duct work is free from conditions listed below: rust NO RUST dirt DIRT CLEANED leaks NO LEAKS damage NO DAMAGE 5. If fitted remove plug and drain the housing for the demister/moisture separator. NOT APPLICABLE 6. Visually examine ducting for water leaks. NOT APPLICABLE,222,2220014157725,Prevent Maint,HPMS,MTR,visually examine ac motor blower vent for conditions listed below damage no damage on the vent dirt dirt cleaned debris build up no debris build up if fitted clean or replace filter screen as required screen cleaned if fitted visually examine spark arrester for damage not fitted make sure that the duct work is free from conditions listed below rust no rust dirt dirt cleaned leaks no leaks damage no damage if fitted remove plug and drain the housing for the demister moisture separator not applicable visually examine ducting for water leaks not applicable,"[('vent', 'for', 'conditions'), ('dirt', 'cleaned'), ('dirt', 'cleaned')]","[('examine', 'ac', 'motor'), ('examine', 'spark', 'arrester')]","[('examine', 'ac'), ('no', 'damage'), ('the', 'vent'), ('no', 'debris'), ('fitted', 'clean'), ('required', 'screen'), ('fitted', 'visually'), ('examine', 'spark'), ('the', 'duct'), ('is', 'free'), ('no', 'rust'), ('leaks', 'damage'), ('no', 'damage'), ('fitted', 'remove'), ('the', 'housing'), ('the', 'demister'), ('examine', 'ducting')]","[('NN', 'IN', 'NNS'), ('NN', 'VBD'), ('NN', 'VBD')]","[('JJ', 'NN', 'NN'), ('JJ', 'NN', 'NN')]","[('JJ', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('VBN', 'NN'), ('VBN', 'NN'), ('VBN', 'RB'), ('JJ', 'NN'), ('DT', 'NN'), ('VBZ', 'JJ'), ('DT', 'NN'), ('JJ', 'NN'), ('DT', 'NN'), ('VBN', 'NN'), ('DT', 'NN'), ('DT', 'NN'), ('VBP', 'VBG')]",visually_examine ac motor blower vent for conditions listed below_damage no_damage on the vent dirt dirt_cleaned debris build up no_debris build up if fitted clean or replace filter screen as required screen cleaned if fitted visually_examine spark arrester for damage not fitted make sure that the duct work is free from conditions listed below_rust no rust dirt dirt_cleaned leaks no leaks damage no_damage if fitted remove plug and drain the housing for the demister moisture separator not applicable visually_examine ducting for water leaks not applicable,2,1,12,"[12, 2, 1]",84,0.03020367663545635,0.053432934579944615,0.3311189464861873,0.002517
