,combined_text_column,Failure Mechanism_JS,Failure_Mechanism_JS_MAP,Failure_Mechanism_JS_MAP_categorical,Exact_Match_Result_label,Exact_Match_Result_categorical,Unit_Based_FM_Result_label,Unit_Based_FM_categorical,Winner_algorithm_1,Winner_algorithm_2,Winner_algorithm_3,ECOC_MAX_predicted_FM_prevelance_labels_after_multiple_ncols_15,ECOC_MAX_predicted_FM_prev_norm_scrs_ncols_15,Gold_Standard_FM_replaced
80,"Replace three way valve in titan reset relief valve # 4 control cabinet Replace three way valve in titan reset relief valve control cabinet During drilling ops the mud pump #4 reset relief valve got opened, Bob checked found the rig air pressure went down for a while also checked the cabinet for any abnormalities. There is a air leak on the three way valve through the vent. Normal expected wear and tear from operating equipment as designed  As Per request from maint sup part request canceled and job closed as the unit was repaired during the troubleshooting.----------, Parts Requested from ICS:----------, ** Non Issued Parts Auto Cancelled QTY REQUESTED: 2 QTY ISSUED: 0 DESC: VALVE SOLENOID 24 VDC 3WAY 316SS CE Z1----------, Part Number: P991000423 was cancelled from the job.'",Mechanical,Mechanical_Failure,1.0,Control_System_Failure,5,Control_System_Failure,5,Control_system,Control_system,Material_failure,Control_system,Control_system,Mechanical_failure
64,"Replace defective mud pump blower motor #1A deteriorated due to heavy vibration. Replace defective mud pump blower motor #1A which is deteriorated due to heavy vibration. Failure related to operation/use or maintenance of the equipment but no further details known  This job is being made for replacing the mud pump #1A blower motor which deteriorating due to heavy vibration.The bolts on the terminal cover had broken twice and the impeller is very rough.There is an old motor and impellor assembly lying in thruster space which was removed due to vibration. The plan is to assemble a blower assembly using spare motor lying in ballast pump room which was order on job number115720.This is a replacement motor offered by Siemens and more details can be found in that job.We also have new impellors on board and this also will be used for assembling it.The motor has been requested on this job.----------, new impller has been recevied ICN # 10023935 from the store and new motor dessembiled the old motor and old imppler from the old frame was in thruster #3 to use the foam sealed between the motor and frame mounting flange and during the assemilation the of the old frame mounting flange has been found cracked all the way from the eadge to the center get an empty frame from thruster #3 and assembild the motor on the frame and installed the imppler to the motor shaft adjusted the impller gap between the imppler and mounting flange to 140 mm (keep in mind the rubber sealed and imppler housing thkness ) as the impller 180 mm and impller housing 200 mm adjusted the imppler in center of the mounting flange secuered and the imppler bolts and tighten all the bolts rigged up all the liftting gears above the mud pump #1 as the plane is only remove the motor frame with the imppler attched to the motor scuerd the the whole frame and motor then undo all the mounting flange bolts and removed the whole motor and motor frame and impller by slided out from the imppler housing then trnasfreed down get the new assemaly readt at the mud pump room and lifted up and slided inside the impller housing secuerd all the bolts and removed all liftting gears the handover to day crew to be connected up and inspect the cleanes between the imppler from the other side of the impller housing .----------, The junction box of the mud pump was repositioned and the power was connected.Function tested it and rattling noise started due to the loose louvers.This was rectified with rubber packings around.There was still abit ofrattlig sound which was from the side plate where lever is connected to rotate the mud pump manually.This was also fixed and now the noise was gone. The vibration level was a bit more than the other one probably because the unit isn't balanced but there is no other spare onboard to fix it as of now.The RLA was 15amps.Test run it for 5 hrs and then put it back in service.Job has now been completed.Plan is to make one assembly of defective motor prepare a complete assembly from what is remaining and send it ot Lifiting for overhaul and balancing.----------, Parts Requested from ICS:",Material,Material_Failure,2.0,Material_Failure,2,Mechanical_Failure,1,Material_failure,Mechanical_failure,Mechanical_failure,Mechanical_failure,Mechanical_failure,Material_failure
49,"Suspend drilling operations due to issues with Hex pumps 1, 2 and 3 requiring repair to fluid ends. Hex pump #1 - Leaking liner gasket that is currently being repaired. Failed Module on Hex pump #1 Bay #2 Hex pump #2 - Washed module in #2 Bay. We have one more module in the warehouse to replace this with. We also have had to steal 2 sub rods for the pistons out of this pump to replace one each in pump #1 and #3. We are out of sub rods so this pump will definitely be down until 2 sub rods are received. There are 2 sub rods in the weekly shipment at the dock. Hex pump # 3 is down due to the washed module that was replaced yesterday. New module is installed and going back together with the S pipe. Hope to have it up within the hour. Hex Pump #4 Bay 2 has a valve and seat outside of Suction seat is busted and washed. Unknown at this time, NOV and TFS is still investigating. Unknown at this time. Pick up off bottom and circulate with pumps 4 and 5 until other pumps available. We have submitted a large rig down order of spare parts, CVX has committed to running a special boat for us. TCO ticket 994750 has been opened with NOV and e hawk has been trending the pumps to see is there is a synchronization issue.",2.3 - Material - Wear,Material_Failure,2.0,Mechanical_Failure,1,Mechanical_Failure,1,Mechanical_failure,Mechanical_failure,Mechanical_failure,multiples,Mechanical_failure,Material_failure
97,"TROUBLESHOOT ABNORMAL TORQUE AND POWER READINGS Breakdown Job Normal expected wear and tear from operating equipment as designed  MUD PUMP RAN FOLLOWING THE REPLACEMENT OF THE PORT SIDE BELT 3A RPM 509 Mact 800 I act 400 V out 347 P out 40 3B RPM 512 Mact Neg 190 I act 395 V out 348 P out Neg 10 MUD PUMP RAN FOLLOWING THE REPLACEMENT OF THE PORT SIDE BELT AND WITH LOAD 3A RPM 393 Mact 3420 I act 512 V out 273 P out 140 3B RPM 394 Mact 2660 I act 475 V out 273 P out 115----------, MEASURED MOTOR CURRENT VALUES AND COMPARED WITH VFD CURRENT READINGS. MP 3A VFD Iact = 392 Motor Phase Measurement 392 Per Phase MP 3B VFD IAct = 396 Motor Phase Readings 396 Per Phase----------, 24/4/18 CNR PUNCHLIST ITEM 304 POWER IMBALANCE BETWEEN A ND B MOTOR We assigned all mud pumps in a controlled manner in order to easily check the Bender feedback. MP1 140k MP3 135K MP4 115K MP5 115K We then ran MP3 up to 80rpm in order to observe the reported difference in torque and power feedback. See link to video which clearly show a large difference in torque and power values basically the values on B motor are always reading negative. I:\Electrical\#3 Mud Pump\Mud Pump 3\20180424_071329.mp4 Note no alarms were activated during the test. Following this we test ran each motor individually and observed the following readings. Motor 3A RPM 206 Mact 400 Nm Iact 380a Vout 140v Pact 10Kw Motor 3B RPM 207 Mact 400 Nm Iact 380a Vout 140v Pact 10Kw Following the discovery of an old email (see attached) which mentions issues with both MP 3 and 5 dating from back in 2011 we ran MP and the following readings were observed. As you can see MP 5 shows similar differences. MP5A. RPM 822.1 Mact 300 Nm Iact 400a Vout 561v Pact 30Kw Motor 5B RPM 820.8 Mact 700 Nm Iact 400a Vout 561v Pact 60Kw For good measure we also checked MP1 and MP4. As you can see MP1 looks fairly balanced however MP4 shows similar differences in Torque and Power. Motor 1A RPM 820 Mact 500 Nm Iact 400a Vout 560v Pact 45Kw Motor 1B RPM 820 Mact 500 Nm Iact 400a Vout 560v Pact 45Kw MP4A. RPM 821 Mact 700 Nm Iact 400a Vout 560v Pact 61Kw Motor 4B RPM 822 Mact 400 Nm Iact 400a Vout 560v Pact 32Kw----------, MUD PUMP 3 RAN WITH LOAD. 3A RPM 810 Mact 3660 I act 515 V out 559 P out 321 3B RPM 820 Mact 2050 I act 450 V out 562 P out 178----------, Folloing the discovery of emails dating back from 2009/20011 which indicated that incorrect belt and pulley allignmnet was the probable cause of the issue it was decided to check mud pump 3. Motor isolated for mechanical checks THE FOLLOWING READINGS WERE TAKEN FOLLOWING THE FIRST MECHANICAL ADJUSTMENT Motor 3A RPM 815 Mact 1510 Nm Iact 416a Vout 558v Pact 128Kw Motor 3B RPM 824 Mact Neg 530 Nm Iact 404a Vout 561v Pact Neg 47Kw----------, FOLLOWING THE FINAL TEST MAINT SUP WAS ABLE TO CLOSE OUT THE ISSUE WITH CLIENT.----------, Checked belt alignment; 3a found slightly off one turn of the adjustment screw made the alignment of motor visually perfect using a wire clamped from one sheave to the other. Belt tension checked at 85 psi. 3b aligned earlier.----------, THE FOLLOWING READINGS WERE TAKEN FOLLOWING THE 2ND MECHANICAL ADJUSTMENT OF MP3. Motor 3A RPM 815 Mact 1500 Nm Iact 420a Vout 558v Pact 130Kw Motor 3B RPM 823 Mact Neg 500 Nm Iact 405a Vout 560v Pact Neg 45Kw----------, THE FOLLOWING READINGS WERE TAKEN FOLLOWING THE 1ST MECHANICAL ADJUSTMENT OF MP4. Motor 4A RPM 815 Mact 1500 Nm Iact 420a Vout 558v Pact 130Kw Motor 4B RPM 823 Mact Neg 500 Nm Iact 405a Vout 560v Pact Neg 45Kw",Electrical,,,Electrical_Failure,4,Mechanical_Failure,1,Electrical_failure,Mechanical_failure,Mechanical_failure,multiples,Electrical_failure,Electrical_failure
69,"Troublesoot and fix the issue of noisy DE bearing on mud pump#1A drive motor. Troublesoot and take necessary corrective action to fix the issue of noisy DE bearing on mud pump#1A drive motor Equipment did not perform as intended per designed specification and not due to lack of maintenance  ID RUN was successfully completed (refer to attached procedure). A backup of the original Parameters and new Paramters (after ID RUN) were uploaded. Software Library will be updated. NOTE 1: As per the Drive Manual prior to performing the ID Run the motor parameters need to be updated to reflect the data on the nameplate of the motor. Despite the fact the motor was changed out with the same type/model some motor characteristics are slightly different (i.e. motor current nominal speed frequency KW). As per feedback from ABB the original motor data needs to be maintained in the drive parameters. These parameters have been optimized for the running of the mudpumps. Since the mudpumps are also part of a 2 motor setup this parameters should be identical to ensure correct load sharing between the motors. NOTE 2: As per feedback from ABB also the following needs to be done prior to following ABB's procedure on performing a Mud Pump Motor ID RUN: Remove CH0 fiber from the RDCO board to ensure external control system is unable to overwrite any parameters during the ID RUN process. Verify Parameter 20.17 P MOT LIMIT is set to 100%. If not change this value to 100%. Please note that this value will be automatically overwritten when CH0 is reconnected at the RDCO board. You can also manually change this Parameter back to original value before reconnecting CH0.----------, Reconnected Mud Pump 1A Blower supply cable. Deisolated Blower and rotation checked and working properly and no abnormal noise.----------, Continue work on Mud Pump #1A mounted back the Motor Junction Box using chain block line up Terminal box to the motor and installed all bolts space heater connected all motor cables closed all covers drilled holes on Space heater terminal box and Winding RTD's terminal box reconnected all wirings. Ongoing job for Motor ID Run.----------, The mechanics had informed about abnormal noise from the mud pump #1 A end .Initially it looked like some vibrating frame but then figured out it is the noise from the drive end of the bearing of motor #1 A. Confirmed this by using stethoscope and temperature gun. Knocking sound was present at the drive end and temperature of the drive end was around 62 degrees Celsius the NDE the temperatures were OK around 38 degrees. Checked the DE & NDE temperatures of motor #1B #2A & #2B.All the DE temperatures were around 48 degrees and NDE was around 38.Pumped in Cyprinia RA grease around 100 shots on DE of motor #1A and noise subsided .At this point the abnormal noise from the bearing can only be heard with a stethoscope. Still there was a knocking noise from the DE bearing of motor#1A .Decided to monitor the noise and temperature every hour but after a while the operation required shutting down the pumps. Seelan had opened up the inspection cover and checked it for any abnormalities .None found and felt the need of more grease .He also pumped grease in it and left it operation just to monitor the temperatures and vibration .The pump doesn't have any load now .The speed was increased and it has been left running and temperature is being monitored .The temperature at the DE is now 58 degrees and NDE is 35 degrees .On motor #1B DE is 45 degrees and NDE IS 35 degrees.----------, Megger New Motor for MP 1A replacement. IR @ 1000 V/ 60 secs : 2.56 Gohms----------, Motor Nameplate details: New MP1A Motor: Model:CM628TUT120BL S/N: SE60CM97331 Old MP1A Motor: Model: CM628TUT120BL S/N: WC60CM43941----------, Worked on Mud Pump #1 Motor 1A replacement disconnected Blower 1A motor supply cable Main motor space heater cables pressure switch and rtd's. Disconnected Main Motor 1A motor cables in the terminal box and remove all terminal box mounting bolts and used chain block to remove the complete terminal box. Removed all tools. Ongoing jobs Drilling Department and Mechanical Department to remove the Blower Motor 1A and Main Motor 1A.----------, As per the below the mud piump motor has been replaced in light of this I am closing this job out----------, The temperatures of the DE bearing for MP1A was monitored and it has been alwas around 68 degrees.The new motor assembly which was there in the thruster#3 space has now been shifted to the mud pump room.This motor model has the initial ending with BL which was confirmed prior to shifting.The motor was meggered and it is fine.We had a quick look at the tools needed for the job these were some that were required for dismantling it. 1. Spaners/ socket set: 14mm.17 mm.19mm 10mm & 24mm. 2.Chain blocks1 ton & 5 ton. 3.Adjustable for glands and some fittings.Thexact size of the motor mounting bolts arent checked and for this mecahnics or drill crew can help when required.----------, The pump #1 has been running since 8 hrs at full load and the temperature of the DE end was monitored every 2 hrs and it was 64 degrees.This pump was started because drill crew had to clean the stariner of pump#4.When the pump #4 is ready to use this pump will be changed over.NDE is 45 degrees----------, The mud pump was running a few days ago for a long time and the maximum temperature that DE bearing had reached was 72 degrees.This was informed to the toolpusher & electrical supervisor as the other pumps were idle and pump #3 was pumping very slow.At the next available oppurtunity this pump was shut down and changed over.NDE bearings were 45 degrees.",Mechanical,Mechanical_Failure,1.0,Control_System_Failure,5,Mechanical_Failure,1,Control_system,Mechanical_failure,Mechanical_failure,multiples,Mechanical_failure,Mechanical_failure
75,"Rebuild manual bleed off valve Rebuild manual bleed off valve Normal expected wear and tear from operating equipment as designed  Parts received----------, ** Non Issued Parts Auto Cancelled QTY REQUESTED: 2 QTY ISSUED: 0 DESC: disc rupture specified 5172 psi at 72 f QTY REQUESTED: 2 QTY ISSUED: 0 DESC: wrench rupture disk plug for 31/16 in----------, Parts Requested from ICS:",Material,Material_Failure,2.0,Material_Failure,2,Material_Failure,2,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure
12,"While circulating and conditioning mud while the client was making decisions on hole direction, We had swabs starting to leak on mud pump #2 (cylinder #2), then mud pump #3 (cylinder 1-3), mud pump #1 (cylinder 1) and mud pump #4 (cylinders 1-3). Under investigation due to swabs having less than 30 hours on them. Continue to monitor liner wash to determine worn swabs ahead of time NOTE: changed to correct swab type for Oil based mud use. (Patriot) Replaced swabs that were available (3 new swabs available and 8 used swabs available). 4 hours of the time acquired due to waiting on 4 mud pumps to be available. Client has requested mud pump #5 be isolated and used for completions only. We had 3 pumps operational (#1 - #3). The time was to pull swabs on mud pump #4, clean pump & liner wash tank, and replace swabs on mud pump #4 (that we had to wait to get off a crew boat).",1.1 Material - Leakage,Material_Failure,2.0,Material_Failure,2,Material_Failure,2,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure
60,"No.1 mud pump PRV, Order replacement TITAN P.R.V. Order replacement TITAN P.R.V. to replace one that was damaged beyond economic repair Inadequate equipment design or configuration (shape, size, technology, configuration, operability, maintainability, etc.), but no further details known  RMS job 2220014162682 has been created for the valve which was removed from Mud Pump # 3 Plans are to overhaul the unit & install on Mud pump # 1----------, Equipment is out of Service Equipment is back in Service Tagged as OOS. This valve did not fail. It was tagged as failed on #1.----------, We finally received the first of two new BX Titan valves onboard. This valve has been modified it has the vent holes drilled just below Bonnet assy. as per HQSOPSTIBPRV009. The numbers or data on this new valve is as follows: NOV Titan BX serial number 23423363 Valve # 10111643001. As stated below though this valve was ordered for pump no. 1 we installed it on pump no. 3. The BX Titan that was on the no. 3 pump has not been modified or had the vent holes drilled in the bonnet. While we do have a safety clamp for this particular valve it could not be placed on this no. 3 mud pump because of structural clearance between the valve and high pressure pipe work. We have placed the new valve at this location will rebuild or reseal the valve that was removed and place it on a different pump and use the safety clamp.----------, Valve has been tested on the Mud Side by drilling dept. No leaks found. Valve in full service now.----------, Equipment is back in Service Tagged as OOS. This valve did not fail. It was tagged as failed on #1.----------, ** This Titan Valve has been installed on #3 Mud Pump as per instructions from Mech Sup**. 1. Removed original BX Titan valve from pipe work. 2. Cleaned up pipe connections and installed new seals. 3. Installed new modified BX Titan valve into place. 4. Removed pressure transducer from pipe work and connected to hydraulic test tool. 5. Tested pressure transduder to 500psi 1500psi 3000psi & 6500psi. Valve open at each set point with no issues. This was witnessed & verified by Rufat Toolpusher. 6. Awaiting drilling dept to test the mud side of the BX Titan before signing off the job as completed.----------, Equipment is out of Service Tagged as OOS. This valve did not fail. It was tagged as failed on #1.----------, Equipment is back in Service Equipment is back in Service Tagged as OOS. This valve did not fail. It was tagged as failed on #1.----------, Parts Requested from ICS:---------- , AUTOMATED PRIORITY ADJUSTMENT Job priority changed from Medium(4) to 1 due to revised job priority methodology.",Material,Material_Failure,2.0,Control_System_Failure,5,Mechanical_Failure,1,Control_system,Mechanical_failure,Material_failure,multiples,Control_system,Material_failure
96,"Need to change seals in mud pump 3 rod 2. Need to change seals in mud pump 3 rod 2. Failure caused by wear and tear resulting from normal operation of the equipment unit  Parts Requested from ICS:----------Mark E , new seals installed. new oring installed as well torqued and tie wired bolts installed cover----------Mark E , Parts Requested from ICS:----------, Deisolated and test ran with derrick hand. Ran pump at over 130 strokes per minute.",Material,Material_Failure,2.0,Material_Failure,2,Material_Failure,2,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure
36,During drilling operations burst disc failed on mud pump 1. Current operations involve downlinking to rotary steerable tools using a bypass downlink system. Previous operations have shown this method to weaken the burst discs leading to premature failure. Plan to install different design of unloaders when equipment becomes available to the rig. Isolated mud pump and replaced disc.,2.7 - Material - Burst,Material_Failure,2.0,Material_Failure,2,Material_Failure,2,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure,Material_failure
