DocNO,id,SENTIMENT,SENTENCES
2.64E+17,15140428,positive,Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :)
2.64E+17,18516728,negative,Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
2.64E+17,147088367,positive,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
2.64E+17,332474633,negative,"Talking about ACT's &amp;&amp; SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out."
2.55E+17,557103111,negative,"They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll"
2.64E+17,382403760,neutral,"Im bringing the monster load of candy tomorrow, I just hope it doesn't get all squiched"
2.63E+17,812957996,positive,@oluoch @victor_otti @kunjand I just watched it! Sridevi's comeback.... U remember her from the 90s?? Sun mornings on NTA ;)
2.64E+17,61903760,positive,@MsSheLahY I didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked
2.51E+17,29023839,neutral,@Alyoup005 @addicted2haley hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys
2.64E+17,183985016,positive,Good Morning Becky ! Thursday is going to be Fantastic ! @SwedenG @DJ4JG @Grdina @Paverlayer @FSBull @RevkahJC @DicksTrash @borderfox116
2.57E+17,10115042,positive,One ticket left for the @49ers game tomorrow!  Don't miss the rematch of the NFC Championship game against the NY Giants!  Hit me up!
2.64E+17,348691527,negative,"AFC away fans on Saturday. All this stuff about the 'she said no' chant. It's bollocks. When he has the ball, just turn your back on him."
2.64E+17,183011479,negative,Why is it so hard to find the @TVGuideMagazine these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow...
2.64E+17,117204603,neutral,@TrevorJavier the heat game may cost alot more...and plus I would rather see Austin Rivers play
2.64E+17,198706982,positive,"Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U, ACT NOW! #getafterit"
2.64E+17,43577828,positive,"@TheFFAddict I had Vick and Flacco, needed an upgrade.  Vick may get benched, Jennings a back up again soon. I thought it was a win for me."
2.64E+17,43167117,positive,Looks like Andy the Android may have had a little too much fun yesterday. http://t.co/7ZDEfzEC
2.62E+17,306647135,positive,@APGPhoto oooh nice .. Tis tempting to go up the lakes with my Nikon ...  Hmmmm I may do that ..
2.58E+17,100101797,negative,"@MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle lies,1st she said she was alone &amp;the hosp.now she's saying how weird it was for Keiffer's"
2.64E+17,138301329,negative,"@MyBeautyisBrown LMFAO his big ass get on my nerves, you going to class tomorrow?"
2.62E+17,17091853,neutral,C'mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers
2.64E+17,108594490,negative,"@thehuwdavies you think the Boro will beat Swansea? I'm not so sure, December/January is when we implode"
2.63E+17,566521127,positive,@JennetteMcHevan I have studied all day but tomorrow I'm going out with friends! :D Omg Jennette did?!!!! I'm gonna look! &lt;3
2.64E+17,15794878,positive,"Good morning Thursday. ""Life is fragile. We're not guaranteed a tomorrow so give it everything you've got."" - Tim Cook [Do it for Jobs!]"
2.64E+17,93655075,positive,#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://t.co/DlXY0LCg
2.60E+17,23346086,positive,@Astrochologist anything. I wondered how the aspects btwn my sun/moon faired with my rising. I also have Venus in Sag...yea lol Thank u :)
2.64E+17,49032667,negative,My teachers call themselves givng us candy....wasn't even the GOOD stuff. I might go to Walmart or CVS tomorrow/
2.64E+17,24144230,neutral,"#Broncos Peyton Manning named AFC Offensive Player of the month. It's his 5th such honor, second to Tom Brady's 6, tied w/ TD."
2.64E+17,37877566,positive,@jackseymour11 I may have an Android phone by the time I get back to school! :)
1.65E+17,160465887,negative,"Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard ... http://t.co/6dZ2hQkD #Raleigh"
2.64E+17,142476472,positive,taylor swift is coming with ed sheeran june 29th? most perf news i've heard all night.
2.64E+17,175523498,positive,The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're 4th row center. Plenty of room. Pretty fired up
2.64E+17,201148169,neutral,"Playing as the Browns HC K. Fri in #Madden13, XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers"
2.60E+17,33442620,negative,@rosanne_89 Nooooooooo rosanne! They've just restocked them and me going overseas Sunday means I can't afford them :'(
2.56E+17,478075690,neutral,The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry
2.64E+17,113783053,positive,@grandvincenzo on November 16 be ready to head to the movies. Breaking Dawn: Part 2. (;
2.62E+17,90333241,positive,"@jbmclendon And the same station that will air new episodes of COUGAR TOWN in January! @tbsveryfunny has been good to us, Jordan. #PennyCan"
2.45E+17,222961982,positive,I think I may have a heart attack for Jason Wu's new collection. So Charlotte Rampling in the Night  http://t.co/2KRW4kTn
2.63E+17,615354091,neutral,If I can get my equipment working correctly we will have a live show on Friday at 6 pm CST with contactee Ray... http://t.co/9LVKwcYJ
2.60E+17,407729607,positive,Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo!  Don't miss tomorrow night... http://t.co/i9asnsET
2.57E+17,62265830,neutral,"#Nationals 9th Inning had that ""4th Quarter #Redskins"" feel, didn't it?  Coulda swore I saw Cundiff shank one from the mound."
2.64E+17,470529724,positive,Why would you still wear shorts when it's this cold?!  I love how Britain see's a bit of sun and they're like 'OOOH LET'S STRIP!'
2.56E+17,47208627,positive,Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://t.co/EFc5Cfng
2.59E+17,63808899,neutral,JACKALS GOAL! Jimmy Martin sneaks a rebound past Killeen to give Elmira a 2-1 lead. Bushee &amp; Bellamy with the assists.1:09 left 2nd period
2.64E+17,369152026,positive,Kick-off your weekend with service! EV!'s Get on the Bus trip to the Boys &amp; Girls Club is Friday from 3-6! Hope to see you there :)
2.64E+17,430519387,positive,"@nater0driguez Lmfao alright u got me there. Good job Parker and the spurs, see y'all jan 9th. If I get an extra ticket to that game ur goin"
2.13E+17,189656827,negative,Desperation Day (February 13th)  the most well known day in all mens life.
2.63E+17,392639346,neutral,"#web Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday replaced the heads of ..."
2.64E+17,509707361,negative,@PaperChasinAL: Damn next Saturday tho Niggas was trynna get shit over with #early
2.63E+17,101319101,positive,@elifyk1 Hi Elif  Greetings from USA midwest  How is school going?  Happy Turkish Republic Day!  I can't wait for Nov 8 #NewGlee Yes!
2.64E+17,87970697,positive,Hoping to look FIT tomorrow on the Jeremy Kyle show #ITVFashion
2.64E+17,45450902,negative,"Obma fails 2unite us, he divides us by sex, color,party,age, wealth Nevada's 1st Latino governor votes early for Romney, predicts GOP win"
2.57E+17,610413207,positive,Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle...
2.64E+17,410051441,neutral,We tallied up the votes and are announcing the winners for Calling All Communities! Tune in http://t.co/XmaXMLCQ on Nov 1st at 11am (CST)
