extracted_date,JOBNUM,JOB_DEC_INST_TEXT_COMB_x,Negation_Scope_Processed,Need Repair 3,Repaired as good as new 1,Working fine 2,Combined Labels
3/22/2016 20:02,2.22001E+12," Equipment is out of Service This valve washed out during drilling 17 1/2 hole March 14th 2016. No spare available so had to blank it. The flange has been welded up to allow blank install.---------- . Install new bleed off valve mud pump room. 1) Scope of works: Supply of Demco Gate Valve ND 3"" 7500PSI, Flanged with Flange 2 1/16"" 10K, BX-152, 4130, including: - Supply of all material needed to carry out the job; - Welding of Flanges at Valve, with 100% X-Ray, Stress Relief; - MPI Inspection in 100%; - HP Testing 1,5 WP; - Blasting & Painting; - Delivery at Transocean yard Macaé; 2) APPLICABLE STANDARDS: - ASME IX B31.3 Process Piping; 3) TESTING AND COMISSIONING: - Final visual inspections of all new works will be carried",,1,,,3
4/25/2016 21:02,2.22001E+12, Mud pump # 1 Replace the Intermediate rods as found to be having heavy scoring during the 360 days pm---------- . Mud pump # 1 Replace the Intermediate rods. Mud pump # 1 Replace the Intermediate rods as found to be having heavy scoring during the 360 days pm,,1,,,3
5/13/2016 15:40,2.22001E+12," Parts Requested from ICS:----------. Titan P.R.V.,s, parts for NOV to do repairs. Provide parts as per NOV's list (attached) to repair the two Titan valves removed from Mud pump No.1 and 4.",the two titan valves removed from mud pump no. ,1,,,3
6/24/2016 10:32,2.22001E+12," Parts Requested from ICS:---------- . No.1 mud pump PRV, Order replacement TITAN P.R.V.. Order replacement TITAN P.R.V. to replace one that was damaged beyond economic repair",no. ,1,,,3
7/13/2017 1:41,2.22001E+12, the impeller has been arrived and recevid from the store and it installed on mud pump #1 A with a new AC motor all check the notes of Job # 165253 this job can be cloased----------. Order Impellor for MP blower motor. Job created to request Impellor for MP spare blower motor.,,,1,,1
1/9/2017 17:28,2.22001E+12, Observed unusual noise coming from fluid end. Isolated pump and inspected fluid end.. MP#1 inspection. Breakdown Job,observed unusual noise coming from fluid end. ,1,,,3
1/11/2017 10:47,2.22001E+12, Parts Requested from ICS:. Order Louvers for Mud Pump #2 Blowers air intake. this to order lovers for replacing the repaired one on the mud pump #2 drive motor blower as the existing one is been repaird and the other two is not in good shape,,1,,,3
1/11/2017 20:56,2.22001E+12," 1. Visually examine AC Motor blower vent for conditions listed below: damage NO DAMAGE ON THE VENT dirt DIRT CLEANED debris build up NO DEBRIS BUILD UP 2. If fitted clean or replace filter/screen as required. SCREEN CLEANED 3. If fitted visually examine spark arrester for damage. NOT FITTED 4. Make sure that the duct work is free from conditions listed below: rust NO RUST dirt DIRT CLEANED leaks NO LEAKS damage NO DAMAGE 5. If fitted remove plug and drain the housing for the demister/moisture separator. NOT APPLICABLE 6. Visually examine ducting for water leaks. NOT APPLICABLE. SPM-C_MTR_ALL-BLOWER_30-ELECTRICAL. NOTE: Perform Task 1 to Task 3 on non-closed loop cooling system. 1. Visually examine AC Motor blower vent for conditions listed below: - damage - dirt - debris build up 2. If fitted, clean or replace filter/screen as required. 3. If fitted, visually examine spark arrester for damage. 4. Make sure that the duct work is free from conditions listed below: - rust - dirt - leaks - damage 5. If fitted, remove plug and drain the housing for the demister/moisture separator. NOT",not. not applicable. not applicable. not fitted             below rust no rust dirt dirt cleaned leaks no leaks damage no_damage. ,,,1,2
1/12/2017 11:48,2.22001E+12, During this week all Mud Pumps worked during the 26 in drilling phase. A leak was found on the #3 Charge Pump so the Mud Pump was stopped and the Mechanics are working on it. A high pressure was noticed on the discharge gauge of Mud Pump #4 so it was stopped the strainer was cleaned and the gauge changed. Other than that no other abnormalities were noticed on the pumps.. SPM-S_MP_NOV(NATIONAL-OILWELL)-P-SERIES_7-DRILLING. NOTE: This PM MUST be performed daily and recorded weekly in RMS. 1. Visually examine piston line spray pump around pump housing for leaks. 2. Visually examine piston line spray pump coupling guard for conditions listed below: - corrosion - damage - loose mountings 3. Visually examine fluid cylinder and valve pot weep holes for leaks. NOTE: Perform below Task ONLY when Mud Pump is shut down. 4. Check main gear end oil level. NOTE: Perform below Task ONLY when Mud Pump is ope,no other abnormalities were noticed on the pumps. ,1,,,3
1/14/2017 5:30,2.22001E+12, #1 #2 #4 were replaced with WOM valves which has rupture disc. No leaks noted. #3: Checked no leaks. Ensure air supply pressure regulator setted 100psi. No proplem defects.. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,no proplem defects. no leaks noted  checked no leaks. ,,,1,2
