,extracted_date,JOBNUM,JOB_DEC_INST_TEXT_COMB_x,AVA_score_pred_khat,AVA_score_pred_khat_bayes,AVA_score_pred_pmi,AVA_class_pred_khat,AVA_class_pred_khat_bayes,AVA_class_pred_pmi,AVA_score_pred_khat_with_negation,AVA_score_pred_khat_bayes_with_negation,AVA_score_pred_pmi_with_negation,AVA_class_pred_khat_with_negation,AVA_class_pred_khat_bayes_with_negation,AVA_class_pred_pmi_with_negation,pred_khat_ava_array_with_neg,pred_khat_bayes_ava_array_with_neg,pred_pmi_ava_array_with_neg,pred_khat_ava_array,pred_khat_bayes_ava_array,pred_pmi_ava_array,JobType,NOV Random Rig Code,SYSTEM,COMPONENT,JOB_DEC_INST_TEXT_COMB_y,Negation_Scope_Processed,Need Repair 3,Repaired as good as new 1,Working fine 2,Combined Labels,JobSchedDate,JobStartDate,JobClosedDate,DatePurchased,DeactivationDate,date_diff_extract_minus_start,number_of_positive,number_of_negative,number_of_neutral,combined_neu_pos_neg,sentence_lenght,AVA_class_pred_pmi_with_negation_numeric,AVA_class_pred_khat_bayes_with_negation_numeric,AVA_class_pred_khat_with_negation_numeric,AVA_class_pred_pmi_numeric,AVA_class_pred_khat_bayes_numeric,AVA_class_pred_khat_numeric
1,2016-03-22 20:02:00,2220014142042," Equipment is out of Service This valve washed out during drilling 17 1/2 hole March 14th 2016. No spare available so had to blank it. The flange has been welded up to allow blank install.---------- . Install new bleed off valve mud pump room. 1) Scope of works: Supply of Demco Gate Valve ND 3"" 7500PSI, Flanged with Flange 2 1/16"" 10K, BX-152, 4130, including: - Supply of all material needed to carry out the job; - Welding of Flanges at Valve, with 100% X-Ray, Stress Relief; - MPI Inspection in 100%; - HP Testing 1,5 WP; - Blasting & Painting; - Delivery at Transocean yard Macaé; 2) APPLICABLE STANDARDS: - ASME IX B31.3 Process Piping; 3) TESTING AND COMISSIONING: - Final visual inspections of all new works will be carried","[1.5082, 1.5161, 1.4757]","[1.5082, 1.5021, 1.4896]","[128.1096, -92.5303, -31.0794]",neutral,neutral,negative,"[1.5082, 1.4867, 1.5051]","[1.5082, 1.4728, 1.519]","[128.1096, -92.5303, -31.0794]",negative,negative,negative,"[-0.007244035887719811, 0.009147464645968694, 0.01931020179855278]","[-0.0072440358877198085, 0.009147464646004038, 0.04716802626885982]","[-168.74797201911116, 84.47124890832458, 19.312546177651075]","[-0.008432730510855623, 0.008023451439940918, -0.04059898985263107]","[-0.008432730510855612, 0.008023450601398228, -0.012705867549038134]","[-168.74797201911116, 84.47124890832458, 19.312546177651075]",Corrective,8060,HPMS,MP," Equipment is out of Service This valve washed out during drilling 17 1/2 hole March 14th 2016. No spare available so had to blank it. The flange has been welded up to allow blank install.---------- . Install new bleed off valve mud pump room. 1) Scope of works: Supply of Demco Gate Valve ND 3"" 7500PSI, Flanged with Flange 2 1/16"" 10K, BX-152, 4130, including: - Supply of all material needed to carry out the job; - Welding of Flanges at Valve, with 100% X-Ray, Stress Relief; - MPI Inspection in 100%; - HP Testing 1,5 WP; - Blasting & Painting; - Delivery at Transocean yard Macaé; 2) APPLICABLE STANDARDS: - ASME IX B31.3 Process Piping; 3) TESTING AND COMISSIONING: - Final visual inspections of all new works will be carried",,1.0,,,3,5/31/2016 0:00,3/22/2016 18:52,3/17/2017 15:43,2/12/2009 0:00,,0 days 01:10:51,0,8,4,"[4, 0, 8]",104,3,3,3,3,2,2
2,2016-04-25 21:02:00,2220014144023, Mud pump # 1 Replace the Intermediate rods as found to be having heavy scoring during the 360 days pm---------- . Mud pump # 1 Replace the Intermediate rods. Mud pump # 1 Replace the Intermediate rods as found to be having heavy scoring during the 360 days pm,"[1.3073, 1.4668, 1.7259]","[1.4061, 1.4465, 1.6474]","[55.0571, -51.2386, 0.6815]",positive,positive,negative,"[1.3044, 1.3154, 1.8802]","[1.4035, 1.3888, 1.7077]","[55.0571, -51.2386, 0.6815]",positive,negative,negative,"[0.1531954072660705, -0.23809479614935672, 0.5223043238752009]","[0.06219618520833634, -0.1307204714441126, 0.28467217014425256]","[-94.61949901959508, 12.494706612029097, 10.857758286087495]","[0.14732914875541342, -0.23809479615901138, 0.21369610332562095]","[0.057075093954631326, -0.13072047144809473, 0.16405056914282937]","[-94.61949901959508, 12.494706612029097, 10.857758286087495]",Corrective,8060,HPMS,MP, Mud pump # 1 Replace the Intermediate rods as found to be having heavy scoring during the 360 days pm---------- . Mud pump # 1 Replace the Intermediate rods. Mud pump # 1 Replace the Intermediate rods as found to be having heavy scoring during the 360 days pm,,1.0,,,3,1/1/2017 0:00,4/25/2016 21:02,4/13/2017 18:04,2/12/2009 0:00,,0 days 00:00:37,3,8,0,"[0, 3, 8]",37,3,3,1,3,1,1
3,2016-05-13 15:40:00,2220014144832," Parts Requested from ICS:----------. Titan P.R.V.,s, parts for NOV to do repairs. Provide parts as per NOV's list (attached) to repair the two Titan valves removed from Mud pump No.1 and 4.","[1.4786, 1.4518, 1.5696]","[1.4786, 1.4517, 1.5697]","[33.7937, -28.5253, -0.7685]",negative,negative,negative,"[1.5021, 1.4163, 1.5816]","[1.5021, 1.4163, 1.5816]","[33.7937, -28.5253, -0.7685]",negative,negative,negative,"[-0.004208373276660608, 0.0, 0.16311978311438255]","[-0.004208373276660605, 0.0, 0.1631197831142983]","[-50.60223237288789, 13.98526482460218, 9.448348830602427]","[0.04280102163972391, -5.342415029907541e-11, 0.13921331249809196]","[0.0428010216397234, -5.3423366069515075e-11, 0.13930238091550054]","[-50.60223237288789, 13.98526482460218, 9.448348830602427]",Corrective,8060,HPMS,PRV," Parts Requested from ICS:----------. Titan P.R.V.,s, parts for NOV to do repairs. Provide parts as per NOV's list (attached) to repair the two Titan valves removed from Mud pump No.1 and 4.",the two titan valves removed from mud pump no. ,1.0,,,3,9/30/2016 0:00,5/13/2016 15:14,1/27/2017 13:18,3/25/2013 0:00,,0 days 00:26:49,1,3,0,"[0, 1, 3]",36,3,3,3,3,3,3
4,2016-06-24 10:32:00,2220014147409," Parts Requested from ICS:---------- . No.1 mud pump PRV, Order replacement TITAN P.R.V.. Order replacement TITAN P.R.V. to replace one that was damaged beyond economic repair","[1.3217, 1.4736, 1.7047]","[1.4178, 1.4254, 1.6567]","[30.7323, -33.2994, 7.0671]",positive,positive,negative,"[1.4144, 1.4578, 1.6278]","[1.4625, 1.4097, 1.6278]","[30.7323, -33.2994, 7.0671]",positive,negative,negative,"[0.17123201192899654, 0.0, 0.2556900901409423]","[0.07506811317910805, 0.0, 0.25569009015009786]","[-64.10065704949973, -5.636078608940571, 5.498118439007814]","[0.15428027011548015, -0.20236694014889625, 0.20704428367760228]","[0.05811637136558974, -0.1062030413990077, 0.20727992218943853]","[-64.10065704949973, -5.636078608940571, 5.498118439007814]",Corrective,8060,HPMS,PRV," Parts Requested from ICS:---------- . No.1 mud pump PRV, Order replacement TITAN P.R.V.. Order replacement TITAN P.R.V. to replace one that was damaged beyond economic repair",no. ,1.0,,,3,11/30/2016 0:00,6/24/2016 10:16,5/7/2017 11:27,3/25/2013 0:00,,0 days 00:16:31,2,4,0,"[0, 2, 4]",29,3,3,1,3,1,1
5,2017-07-13 01:41:00,2220014154136, the impeller has been arrived and recevid from the store and it installed on mud pump #1 A with a new AC motor all check the notes of Job # 165253 this job can be cloased----------. Order Impellor for MP blower motor. Job created to request Impellor for MP spare blower motor.,"[1.3818, 1.5616, 1.5566]","[1.3818, 1.5615, 1.5567]","[32.1364, -28.3287, 0.6923]",positive,positive,negative,"[1.3804, 1.5069, 1.6126]","[1.3804, 1.5069, 1.6126]","[32.1364, -28.3287, 0.6923]",positive,positive,negative,"[0.11138338009590561, -0.12774138738232965, 0.09753594401037569]","[0.11138338009590476, -0.12774138738233085, 0.09753594401622363]","[-58.59077832089617, 2.682121531024663, 1.0666428785420639]","[0.10869914776904144, -0.127741387382492, -0.014513896480481571]","[0.1086991477690406, -0.12774138738249236, -0.014317641783262608]","[-58.59077832089617, 2.682121531024663, 1.0666428785420639]",Corrective,8060,HPMS,MTR, the impeller has been arrived and recevid from the store and it installed on mud pump #1 A with a new AC motor all check the notes of Job # 165253 this job can be cloased----------. Order Impellor for MP blower motor. Job created to request Impellor for MP spare blower motor.,,,1.0,,1,10/28/2018 0:00,7/13/2017 1:35,7/13/2017 0:00,2/9/2009 0:00,,0 days 00:06:11,2,3,1,"[1, 2, 3]",46,3,1,1,3,1,1
10,2017-01-09 17:28:00,2220014157610, Observed unusual noise coming from fluid end. Isolated pump and inspected fluid end.. MP#1 inspection. Breakdown Job,"[1.5398, 1.4564, 1.5038]","[1.5398, 1.4564, 1.5038]","[28.8751, -6.7602, -17.6148]",negative,negative,neutral,"[1.5335, 1.4857, 1.4808]","[1.5335, 1.4857, 1.4808]","[28.8751, -6.7602, -17.6148]",neutral,neutral,neutral,"[0.0, 0.06707887697237427, 0.02864979400512446]","[0.0, 0.06707887697286781, 0.0286497940335052]","[-25.883676151912542, 28.86642470337233, -9.363270736285326]","[0.0, 0.07963813147793665, 0.08720861762936097]","[0.0, 0.07963812319464271, 0.08728620854942937]","[-25.883676151912542, 28.86642470337233, -9.363270736285326]",Corrective,8060,HPMS,MP, Observed unusual noise coming from fluid end. Isolated pump and inspected fluid end.. MP#1 inspection. Breakdown Job,observed unusual noise coming from fluid end. ,1.0,,,3,1/9/2017 0:00,1/9/2017 0:00,1/10/2017 8:25,2/12/2009 0:00,,0 days 17:28:27,0,3,2,"[2, 0, 3]",19,2,2,2,2,3,3
12,2017-01-11 10:47:00,2220014157698, Parts Requested from ICS:. Order Louvers for Mud Pump #2 Blowers air intake. this to order lovers for replacing the repaired one on the mud pump #2 drive motor blower as the existing one is been repaird and the other two is not in good shape,"[1.3844, 1.4575, 1.6581]","[1.3824, 1.4661, 1.6515]","[27.0662, -15.9071, -6.659]",positive,positive,negative,"[1.3769, 1.4378, 1.6852]","[1.3752, 1.4437, 1.681]","[27.0662, -15.9071, -6.659]",positive,positive,negative,"[0.1028892314165978, -0.14328170214915256, 0.22719493158993728]","[0.10623920434807915, -0.14328170214915253, 0.21880765859105702]","[-39.660051264034465, 11.472266800541277, -4.845774011120412]","[0.08787612199952319, -0.1432817021492185, 0.17291392182541052]","[0.09186891946956602, -0.14328170214921893, 0.15975758603569545]","[-39.660051264034465, 11.472266800541277, -4.845774011120412]",Corrective,8060,HPMS,MTR, Parts Requested from ICS:. Order Louvers for Mud Pump #2 Blowers air intake. this to order lovers for replacing the repaired one on the mud pump #2 drive motor blower as the existing one is been repaird and the other two is not in good shape,,1.0,,,3,8/11/2017 0:00,1/11/2017 10:45,9/16/2017 15:35,2/9/2009 0:00,,0 days 00:02:09,2,5,0,"[0, 2, 5]",41,3,1,1,3,1,1
14,2017-01-11 20:56:00,2220014157725," 1. Visually examine AC Motor blower vent for conditions listed below: damage NO DAMAGE ON THE VENT dirt DIRT CLEANED debris build up NO DEBRIS BUILD UP 2. If fitted clean or replace filter/screen as required. SCREEN CLEANED 3. If fitted visually examine spark arrester for damage. NOT FITTED 4. Make sure that the duct work is free from conditions listed below: rust NO RUST dirt DIRT CLEANED leaks NO LEAKS damage NO DAMAGE 5. If fitted remove plug and drain the housing for the demister/moisture separator. NOT APPLICABLE 6. Visually examine ducting for water leaks. NOT APPLICABLE. SPM-C_MTR_ALL-BLOWER_30-ELECTRICAL. NOTE: Perform Task 1 to Task 3 on non-closed loop cooling system. 1. Visually examine AC Motor blower vent for conditions listed below: - damage - dirt - debris build up 2. If fitted, clean or replace filter/screen as required. 3. If fitted, visually examine spark arrester for damage. 4. Make sure that the duct work is free from conditions listed below: - rust - dirt - leaks - damage 5. If fitted, remove plug and drain the housing for the demister/moisture separator. NOT","[1.4197, 1.6072, 1.4731]","[1.4569, 1.5586, 1.4846]","[129.3424, 118.9273, -243.7696]",positive,positive,neutral,"[1.4346, 1.6017, 1.4637]","[1.4631, 1.5588, 1.4781]","[129.3424, 118.9273, -243.7696]",positive,positive,neutral,"[0.09853466329276475, -0.03233870377866057, -0.10488102005665599]","[0.051294277840062394, -0.02245695444285667, -0.06623626898840135]","[7.983877218161393, 263.66863502311304, -226.8706331884533]","[0.11809651040418825, -0.0425406962726247, -0.09632903802364484]","[0.057348005393866454, -0.02890089069147308, -0.05979542781842755]","[7.983877218161393, 263.66863502311304, -226.8706331884533]",Prevent Maint,8060,HPMS,MTR," 1. Visually examine AC Motor blower vent for conditions listed below: damage NO DAMAGE ON THE VENT dirt DIRT CLEANED debris build up NO DEBRIS BUILD UP 2. If fitted clean or replace filter/screen as required. SCREEN CLEANED 3. If fitted visually examine spark arrester for damage. NOT FITTED 4. Make sure that the duct work is free from conditions listed below: rust NO RUST dirt DIRT CLEANED leaks NO LEAKS damage NO DAMAGE 5. If fitted remove plug and drain the housing for the demister/moisture separator. NOT APPLICABLE 6. Visually examine ducting for water leaks. NOT APPLICABLE. SPM-C_MTR_ALL-BLOWER_30-ELECTRICAL. NOTE: Perform Task 1 to Task 3 on non-closed loop cooling system. 1. Visually examine AC Motor blower vent for conditions listed below: - damage - dirt - debris build up 2. If fitted, clean or replace filter/screen as required. 3. If fitted, visually examine spark arrester for damage. 4. Make sure that the duct work is free from conditions listed below: - rust - dirt - leaks - damage 5. If fitted, remove plug and drain the housing for the demister/moisture separator. NOT",not. not applicable. not applicable. not fitted             below rust no rust dirt dirt cleaned leaks no leaks damage no_damage. ,,,1.0,2,12/23/2016 0:00,1/11/2017 20:55,1/11/2017 20:56,2/9/2009 0:00,,0 days 00:01:20,8,11,17,"[17, 8, 11]",182,2,1,1,2,1,1
16,2017-01-12 11:48:00,2220014157746, During this week all Mud Pumps worked during the 26 in drilling phase. A leak was found on the #3 Charge Pump so the Mud Pump was stopped and the Mechanics are working on it. A high pressure was noticed on the discharge gauge of Mud Pump #4 so it was stopped the strainer was cleaned and the gauge changed. Other than that no other abnormalities were noticed on the pumps.. SPM-S_MP_NOV(NATIONAL-OILWELL)-P-SERIES_7-DRILLING. NOTE: This PM MUST be performed daily and recorded weekly in RMS. 1. Visually examine piston line spray pump around pump housing for leaks. 2. Visually examine piston line spray pump coupling guard for conditions listed below: - corrosion - damage - loose mountings 3. Visually examine fluid cylinder and valve pot weep holes for leaks. NOTE: Perform below Task ONLY when Mud Pump is shut down. 4. Check main gear end oil level. NOTE: Perform below Task ONLY when Mud Pump is ope,"[1.5011, 1.4877, 1.5111]","[1.4973, 1.5017, 1.501]","[277.2341, -125.2782, -147.4558]",negative,positive,neutral,"[1.4997, 1.4747, 1.5256]","[1.4965, 1.4927, 1.5108]","[277.2341, -125.2782, -147.4558]",negative,negative,neutral,"[-0.005192216847213831, -0.005716902415942017, 0.045405606624709514]","[0.0012415018840573812, -0.005716902415891666, 0.01587352731014529]","[-299.66075890291984, 251.80736135693869, -46.104333499339624]","[-0.009091661633848702, -0.0068101984027267035, 0.015469342335272486]","[-0.0014799922989329293, -0.006829491869146559, -0.004900553794543005]","[-299.66075890291984, 251.80736135693869, -46.104333499339624]",Prevent Maint,8060,HPMS,MP, During this week all Mud Pumps worked during the 26 in drilling phase. A leak was found on the #3 Charge Pump so the Mud Pump was stopped and the Mechanics are working on it. A high pressure was noticed on the discharge gauge of Mud Pump #4 so it was stopped the strainer was cleaned and the gauge changed. Other than that no other abnormalities were noticed on the pumps.. SPM-S_MP_NOV(NATIONAL-OILWELL)-P-SERIES_7-DRILLING. NOTE: This PM MUST be performed daily and recorded weekly in RMS. 1. Visually examine piston line spray pump around pump housing for leaks. 2. Visually examine piston line spray pump coupling guard for conditions listed below: - corrosion - damage - loose mountings 3. Visually examine fluid cylinder and valve pot weep holes for leaks. NOTE: Perform below Task ONLY when Mud Pump is shut down. 4. Check main gear end oil level. NOTE: Perform below Task ONLY when Mud Pump is ope,no other abnormalities were noticed on the pumps. ,1.0,,,3,1/14/2017 0:00,1/12/2017 11:35,1/12/2017 11:48,2/12/2009 0:00,,0 days 00:13:22,1,14,6,"[6, 1, 14]",159,2,3,3,2,1,3
18,2017-01-14 05:30:00,2220014157824, #1 #2 #4 were replaced with WOM valves which has rupture disc. No leaks noted. #3: Checked no leaks. Ensure air supply pressure regulator setted 100psi. No proplem defects.. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,"[1.485, 1.4357, 1.5793]","[1.4815, 1.4513, 1.5673]","[268.2887, -225.9577, -37.831]",negative,negative,negative,"[1.4711, 1.4592, 1.5697]","[1.4686, 1.4704, 1.561]","[268.2887, -225.9577, -37.831]",negative,positive,negative,"[0.01706604155485479, -0.04076487934398377, 0.09864095128627592]","[0.02194501397406049, -0.040764879343953266, 0.08116891163724832]","[-349.8125305796747, 183.76481982624637, 105.10277408089543]","[-0.003687633771759476, -0.03361967158354719, 0.12499770508659723]","[0.0034163351962273707, -0.0336196731974347, 0.10088357933488082]","[-349.8125305796747, 183.76481982624637, 105.10277408089543]",Prevent Maint,8060,HPMS,PRV, #1 #2 #4 were replaced with WOM valves which has rupture disc. No leaks noted. #3: Checked no leaks. Ensure air supply pressure regulator setted 100psi. No proplem defects.. SPM-S_PRV-HPMS_NOV-TITAN-BX_7-MECHANICAL. NOTE: Perform this PM daily and record weekly in RMS. WARNING: ANY SIGNS OF LEAKAGE REQUIRES IMMEDIATE ACTION TO PREVENT VALVE DAMAGE AND/OR PERSONNEL INJURY. 1. Visually examine the exterior of valve for mud leakage as per RMS Procedure BPR-PRV-N005 (Titan BX Visual Inspection Illustration). NOTE: Refer to RMS Procedure BPR-PRV-N003 (NOV Titan BX PRV Disassembly And Assembly (Mud Pumps)) while performing below Task. 2. Replace piston seals ONLY if mud leakage is observed at the poi,no proplem defects. no leaks noted  checked no leaks. ,,,1.0,2,1/7/2017 0:00,1/14/2017 4:26,1/14/2017 5:30,3/25/2013 0:00,,0 days 01:04:02,2,12,4,"[4, 2, 12]",121,3,1,3,3,3,3
