phrases,tagged_phrases,Tags,indicator_valid_eng_phrase
a abnormal,a dt abnormal jj,DT JJ,1
a ac,a dt ac nn,DT NN,1
a access,a dt access nn,DT NN,1
a accumulator,a dt accumulator nn,DT NN,1
a achieve,a dt achieve nn,DT NN,1
a acs,a dt acs nn,DT NN,0
a active,a dt active jj,DT JJ,1
a adapater,a dt adapater nn,DT NN,0
a additional,a dt additional jj,DT JJ,1
a adequate,a dt adequate nn,DT NN,1
a aft,a dt aft nn,DT NN,1
a ahd,a dt ahd nn,DT NN,0
a air,a dt air nn,DT NN,1
a alarm,a dt alarm nn,DT NN,1
a ambient,a dt ambient nn,DT NN,1
a amp,a dt amp nn,DT NN,1
a amperage,a dt amperage nn,DT NN,1
a amps,a dt amps nn,DT NN,1
a analog,a dt analog nn,DT NN,1
a annual,a dt annual jj,DT JJ,1
a api,a dt api nn,DT NN,0
a applicator,a dt applicator nn,DT NN,1
a are,a dt are vbp,DT VBP,1
a areoquip,a dt areoquip nn,DT NN,0
a assistance,a dt assistance nn,DT NN,1
a assisted,a dt assisted jj,DT JJ,1
a at present moment,a dt at in_pos present jj moment nn,DT IN JJ NN,1
a at present time,a dt at in_pos present jj time nn,DT IN JJ NN,1
a atos,a dt atos nn,DT NN,0
a audible,a dt audible jj,DT JJ,1
a aux,a dt aux nn,DT NN,1
a auxiliaries,a dt auxiliaries nns,DT NNS,1
a auxside,a dt auxside nn,DT NN,0
a available,a dt available jj,DT JJ,1
a b,a dt b nn,DT NN,1
a b due,a dt b nn due jj,DT NN JJ,1
a b hydraulic,a dt b nn hydraulic nn,DT NN NN,1
a back,a dt back nn,DT NN,1
a backup,a dt backup nn,DT NN,1
a bacteria,a dt bacteria nn,DT NN,1
a bad,a dt bad jj,DT JJ,1
a ball,a dt ball nn,DT NN,1
a band,a dt band nn,DT NN,1
a bar,a dt bar nn,DT NN,1
a bare,a dt bare nn,DT NN,1
a barge,a dt barge nn,DT NN,1
a barrel,a dt barrel nn,DT NN,1
a barrier,a dt barrier nn,DT NN,1
a barring,a dt barring nn,DT NN,1
a base,a dt base nn,DT NN,1
a baseline,a dt baseline nn,DT NN,1
a basic,a dt basic jj,DT JJ,1
a basket,a dt basket nn,DT NN,1
a battery,a dt battery nn,DT NN,1
a bearing,a dt bearing nn,DT NN,1
a bearings,a dt bearings nns,DT NNS,1
a because,a dt because nn,DT NN,1
a bell,a dt bell nn,DT NN,1
a belt,a dt belt nn,DT NN,1
a bend,a dt bend nn,DT NN,1
a bended,a dt bended vbd,DT VBD,1
a bind,a dt bind nn,DT NN,1
a bit,a dt bit nn,DT NN,1
a bit concerned,a dt bit nn concerned jj,DT NN JJ,1
a bit dry,a dt bit nn dry jj,DT NN JJ,1
a bit kinked,a dt bit nn kinked vbd,DT NN VBD,1
a bit loose,a dt bit nn loose jj,DT NN JJ,1
a bit stiff,a dt bit nn stiff jj,DT NN JJ,1
a bite,a dt bite nn,DT NN,1
a black,a dt black jj,DT JJ,1
a bladder,a dt bladder nn,DT NN,1
