phrases,tagged_phrases
a ac,a dt ac nn
a amp,a dt amp nn
a amperage,a dt amperage nn
a amps,a dt amps nn
a aux,a dt aux nn
a b,a dt b nn
a backup,a dt backup nn
a ball,a dt ball nn
a barring,a dt barring nn
a basic,a dt basic jj
a bearing,a dt bearing nn
a bearings,a dt bearings nns
a because,a dt because nn
a bit,a dt bit nn
a blades,a dt blades nns
a blower,a dt blower nn
a bolts,a dt bolts nn
a booster,a dt booster nn
a cables,a dt cables nns
a calibration,a dt calibration nn
a call,a dt call nn
a carbon,a dt carbon nn
a chance,a dt chance nn
a change,a dt change nn
a check,a dt check nn
a checked,a dt checked nn
a clean,a dt clean jj
a cleaning,a dt cleaning nn
a close,a dt close nn
a closed,a dt closed vbd
a cm,a dt cm nn
a coat,a dt coat nn
a common,a dt common jj
a complete,a dt complete jj
a concern,a dt concern nn
a confirmed,a dt confirmed nn
a copy,a dt copy nn
a correct,a dt correct nn
a covers,a dt covers nns
a day,a dt day nn
a dec,a dt dec nn
a decision,a dt decision nn
a degrading,a dt degrading nn
a demister,a dt demister nn
a did,a dt did vbd
a differant,a dt differant nn
a distance,a dt distance nn
a drive,a dt drive nn
a duct,a dt duct nn
a ducting,a dt ducting nn
a duplicate,a dt duplicate nn
a earth,a dt earth nn
a end,a dt end nn
a ex,a dt ex nn
a examined,a dt examined jj
a f,a dt f nn
a failure,a dt failure nn
a fastners,a dt fastners nns
a few,a dt few jj
a follow,a dt follow nn
a full,a dt full jj
a function,a dt function nn
a fwd,a dt fwd nn
a good,a dt good jj
a graph,a dt graph nn
a grinder,a dt grinder nn
a ground,a dt ground nn
a grounded,a dt grounded jj
a heater,a dt heater nn
a hh,a dt hh nn
a hole,a dt hole nn
a i,a dt i nn
a icn,a dt icn nn
a impeller,a dt impeller nn
a inch,a dt inch nn
a inispected,a dt inispected jj
a inspected,a dt inspected jj
a inspection,a dt inspection nn
a investigations,a dt investigations nns
a ir,a dt ir nn
a isolate,a dt isolate nn
a isolated,a dt isolated jj
a isolation,a dt isolation nn
a j,a dt j nn
a knocking,a dt knocking nn
a later,a dt later nn
a leaks,a dt leaks nn
a lifting,a dt lifting nn
a like,a dt like jj
a little,a dt little jj
a long,a dt long jj
a look,a dt look nn
a loose,a dt loose jj
a lot,a dt lot nn
a louver,a dt louver nn
a louvers,a dt louvers nns
a low,a dt low jj
a lubricated,a dt lubricated jj
a m,a dt m nn
a machined,a dt machined jj
a made,a dt made nn
a main,a dt main jj
a major,a dt major jj
a make,a dt make nn
a maximum,a dt maximum nn
a meg,a dt meg nn
a megger,a dt megger nn
a megohmeter,a dt megohmeter nn
a min,a dt min nn
a minmohms,a dt minmohms nn
a minor,a dt minor jj
a minute,a dt minute nn
a mm,a dt mm nn
a mohms,a dt mohms nn
a motor,a dt motor nn
a mounting,a dt mounting nn
a mud,a dt mud nn
a n,a dt n nn
a nalfleet,a dt nalfleet nn
a nde,a dt nde nn
a new,a dt new jj
a non,a dt non nn
a normal,a dt normal jj
a note,a dt note nn
a operation,a dt operation nn
a pass,a dt pass nn
a performed,a dt performed nn
a pi,a dt pi nn
a plan,a dt plan nn
a pm,a dt pm nn
a possibility,a dt possibility nn
a pressure,a dt pressure nn
a previous,a dt previous jj
a print,a dt print nn
a pulsation,a dt pulsation nn
a pumps,a dt pumps nns
a quick,a dt quick nn
a rd,a dt rd nn
a ready,a dt ready jj
a recent,a dt recent jj
a record,a dt record nn
a red,a dt red jj
a reduced,a dt reduced jj
a remote,a dt remote jj
a removed,a dt removed vbd
a removing,a dt removing nn
a rental,a dt rental nn
a replaced,a dt replaced jj
a replacement,a dt replacement nn
a result,a dt result nn
a rpm,a dt rpm nn
a rtd,a dt rtd nn
a running,a dt running nn
a safe,a dt safe jj
a satisfactory,a dt satisfactory jj
a sealed,a dt sealed jj
a second,a dt second jj
a see,a dt see nn
a service,a dt service nn
a set,a dt set nn
a significant,a dt significant jj
a slight,a dt slight nn
a small,a dt small jj
a space,a dt space nn
a spare,a dt spare nn
a step,a dt step nn
a steps,a dt steps nns
a stethoscope,a dt stethoscope nn
a sticker,a dt sticker nn
a stock,a dt stock nn
a strange,a dt strange nn
a strong,a dt strong jj
a suitable,a dt suitable jj
a switch,a dt switch nn
a tap,a dt tap nn
a task,a dt task nn
a teflon,a dt teflon nn
a temperature,a dt temperature nn
a test,a dt test nn
a third,a dt third jj
a thorough,a dt thorough nn
a thru,a dt thru nn
a time,a dt time nn
a unable,a dt unable jj
a verified,a dt verified jj
a viable,a dt viable jj
a vibration,a dt vibration nn
a visual,a dt visual jj
a was,a dt was vbd
a way,a dt way nn
a while,a dt while nn
a year,a dt year nn
aand,aand nn
abb,abb nn
abbs,abbs nn
abel,abel nn
able,able jj
abnomalities,abnomalities nns
abnormal,abnormal jj
abnormalities,abnormalities nns
about abnormal noise,about in_pos abnormal jj noise nn
about motor,about in_pos motor nn
above degc,above in_pos degc nn
above marcelo,above in_pos marcelo nn
above mohms,above in_pos mohms nn
above normal operation,above in_pos normal jj operation nn
above normal vibration,above in_pos normal jj vibration nn
above of motor,above in_pos of in_pos motor nn
above on step,above in_pos on in_pos step nn
ac,ac nn
ac motor,ac nns motor nn
accelerometers,accelerometers nns
acceptable,acceptable jj
accesible,accesible jj
access,access nn
accessible,accessible jj
accetable,accetable jj
accident,accident nn
accomplished,accomplished vbn
according,according vbg
accounted,accounted vbd
accumulation,accumulation nn
accuracy,accuracy nn
accurate,accurate nn
accurately hp,accurately rb hp nn
achieve,achieve nn
achieved,achieved vbn
act,act nn
act v,act nn v nn
action,action nn
actions,actions nns
activated,activated vbn
actual,actual jj
added,added vbd
additional,additional jj
additive,additive jj
address,address nn
addressed,addressed vbn
adequate,adequate nn
adirt,adirt nn
adjustable,adjustable jj
adjusted,adjusted vbn
adjustment,adjustment nn
aforementioned,aforementioned vbn
aft,aft nn
after drill,after in_pos drill nn
after id run,after in_pos id jj run nn
after idle period,after in_pos idle jj period nn
after inspection,after in_pos inspection nn
after insulation,after in_pos insulation nn
after lubrication,after in_pos lubrication nn
after min,after in_pos min nn
after rig,after in_pos rig nn
after rotation,after in_pos rotation nn
after usage,after in_pos usage nn
again at eow,again rb at in_pos eow nn
again drive,again rb drive nn
again ir,again rb ir nn
again untill,again rb untill jj
against corrosion,against in_pos corrosion nn
age,age nn
aged,aged vbn
agreement,agreement nn
ahs been,ahs rb been vbn
air,air nn
aircure,aircure nn
airflow,airflow nn
airways,airways nns
al,al nn
alarm,alarm nn
alarm yellow,alarm nn yellow nn
alarms,alarms nns
alert,alert nn
alerts,alerts nns
aligned,aligned vbn
aligning,aligning vbg
alignment,alignment nn
all ac,all dt ac nn
all air,all dt air nn
all alerts,all dt alerts nns
all appear,all dt appear vbp
all applicable,all dt applicable jj
all available,all dt available jj
all bearing,all dt bearing nn
all blower,all dt blower nn
all blowers,all dt blowers nns
all bolts,all dt bolts nns
all bonding,all dt bonding nn
all boxes,all dt boxes nns
all cable,all dt cable nn
all cables,all dt cables nns
all cabling,all dt cabling nn
all checked,all dt checked vbd
all checks,all dt checks nns
all choke,all dt choke vbd
all components,all dt components nns
all conections,all dt conections nns
all connections,all dt connections nns
all contactors,all dt contactors nns
all control,all dt control nn
all cooling,all dt cooling nn
all cover,all dt cover nn
all coverns,all dt coverns nns
all covers,all dt covers nns
all discrepancies,all dt discrepancies nns
all drills,all dt drills nns
all duct,all dt duct nn
all ducting,all dt ducting nn
all earth,all dt earth nn
all eas,all dt eas nns
all eath,all dt eath nn
all electrical,all dt electrical jj
all equipment,all dt equipment nn
all estops,all dt estops nns
all everything,all dt everything nn
all ex,all dt ex nn
all fasteners,all dt fasteners nns
all fastners,all dt fastners nns
all filters,all dt filters nns
all fixing,all dt fixing nn
all fluid,all dt fluid nn
all fok,all dt fok nn
all found,all dt found vbd
all gaskets,all dt gaskets nns
all gauges,all dt gauges nns
all glandes,all dt glandes nns
all glanding,all dt glanding nn
all glands,all dt glands nns
all good,all dt good jj
all grands,all dt grands nns
all ground,all dt ground nn
all grounding,all dt grounding nn
all grounds,all dt grounds nns
all hardware,all dt hardware nn
all heaters,all dt heaters nns
all high,all dt high jj
all hoses,all dt hoses nns
all id,all dt id nn
all in acceptable level,all dt in in_pos acceptable jj level nn
all in good condition,all dt in in_pos good jj condition nn
all in good order,all dt in in_pos good jj order nn
all in good shape,all dt in in_pos good jj shape nn
all inspection,all dt inspection nn
all internal,all dt internal jj
all items,all dt items nns
all jbox,all dt jbox nn
all jboxes,all dt jboxes nns
all jbs,all dt jbs nn
all junction,all dt junction nn
all labeling,all dt labeling nn
all ldw,all dt ldw nn
all leads,all dt leads nns
all line,all dt line nn
all lines,all dt lines nns
all local,all dt local jj
all louver,all dt louver nn
all main,all dt main jj
all manifold,all dt manifold nn
all mcc,all dt mcc nn
all mechanical,all dt mechanical jj
all metering,all dt metering nn
all motor,all dt motor nn
all motors,all dt motors nns
all mounting,all dt mounting nn
all mud,all dt mud nn
all name,all dt name nn
all nuts,all dt nuts nns
all ok,all dt ok nn
all operational,all dt operational jj
all other,all dt other jj
all others,all dt others nns
all panel,all dt panel nn
all personal,all dt personal jj
all pionts,all dt pionts nns
all pipework,all dt pipework nn
all piping,all dt piping nn
all pm,all dt pm nn
all pressure,all dt pressure nn
all product,all dt product nn
all pulsation,all dt pulsation nn
all pump,all dt pump nn
all pumps,all dt pumps nns
all reading,all dt reading nn
all readings,all dt readings nns
all relevant,all dt relevant jj
all rtds,all dt rtds nn
all run,all dt run vbp
all safety,all dt safety nn
all satisfactory,all dt satisfactory jj
all sealed,all dt sealed vbd
all seals,all dt seals nns
all shrouds,all dt shrouds nns
all sound,all dt sound nn
all standpipe,all dt standpipe nn
all steps,all dt steps nns
all stroke,all dt stroke vbd
all supply,all dt supply nn
all support,all dt support nn
all survey,all dt survey nn
all switches,all dt switches nns
all tags,all dt tags nns
all task,all dt task nn
all tasks,all dt tasks nns
all terminal,all dt terminal nn
all terminals,all dt terminals nns
all terminations,all dt terminations nns
all thread,all dt thread nn
all tool,all dt tool nn
all tools,all dt tools nns
all visual,all dt visual jj
all ware,all dt ware nn
all was,all dt was vbd
all were,all dt were vbd
all wiring,all dt wiring nn
all wirings,all dt wirings nns
all work,all dt work nn
allowed,allowed vbn
allows,allows nns
alls,alls nns
along with day,along in_pos with in_pos day nn
along with heat,along in_pos with in_pos heat nn
along with humidity,along in_pos with in_pos humidity nn
along with verification,along in_pos with in_pos verification nn
already calibrated,already rb calibrated vbn
already connected,already rb connected vbn
already created,already rb created vbn
also as reference,also rb as in_pos reference nn
also been,also rb been vbn
also discovered,also rb discovered vbd
also fixed,also rb fixed vbn
also in good condition,also rb in in_pos good jj condition nn
also mud,also rb mud nn
also noticed,also rb noticed vbd
also surface,also rb surface nn
alwas,alwas nn
ambient,ambient nn
ammended,ammended vbd
ammeter,ammeter nn
ammount,ammount nn
amount,amount nn
amp,amp nn
amp mpb,amp nn mpb nn
ampchecked,ampchecked nns
amperage,amperage nn
amps,amps nns
amps done,amps nns done vbn
amps visualized,amps nns visualized vbd
ampstest,ampstest nn
an abnormal,an dt abnormal jj
an acceptable,an dt acceptable jj
an alarm,an dt alarm nn
an alarms,an dt alarms nns
an alert,an dt alert nn
an ammeter,an dt ammeter nn
an amp,an dt amp nn
an appearance,an dt appearance nn
an average,an dt average nn
an confimred,an dt confimred jj
an earth,an dt earth nn
an empty,an dt empty jj
an enclosed,an dt enclosed jj
an extract,an dt extract nn
an hour,an dt hour nn
an in good condition,an dt in in_pos good jj condition nn
an infrared,an dt infrared jj
an investigation,an dt investigation nn
an ir,an dt ir nn
an issue,an dt issue nn
an off,an dt off rp
an old,an dt old jj
an open,an dt open jj
an opportunity,an dt opportunity nn
an overcurrent,an dt overcurrent nn
an unplanned,an dt unplanned jj
analysis,analysis nn
analyze,analyze nn
analyzes,analyzes nns
andnameplate,andnameplate nn
anf,anf nn
annual,annual jj
another function,another dt function nn
another job,another dt job nn
another pi,another dt pi nn
another rig,another dt rig nn
another survey,another dt survey nn
ans,ans nns
any abnormal,any dt abnormal jj
any abnormalities,any dt abnormalities nns
any action,any dt action nn
any alarm,any dt alarm nn
any alarms,any dt alarms nns
any bearing,any dt bearing nn
any cable,any dt cable nn
any components,any dt components nns
any contactors,any dt contactors nns
any cracks,any dt cracks nns
any dam,any dt dam nn
any damage,any dt damage nn
any debris,any dt debris nn
any defects,any dt defects nns
any dirt,any dt dirt nn
any element,any dt element nn
any fault,any dt fault nn
any grounds,any dt grounds nns
any heaters,any dt heaters nns
any internal,any dt internal jj
any issue,any dt issue nn
any issues,any dt issues nns
any load,any dt load nn
any loose,any dt loose jj
any motors,any dt motors nns
any movement,any dt movement nn
any mud,any dt mud nn
any noiseused,any dt noiseused jj
any noticeable,any dt noticeable jj
any obvious,any dt obvious jj
any parameters,any dt parameters nns
any parts,any dt parts nns
any problem,any dt problem nn
any problems,any dt problems nns
any screws,any dt screws nns
any signs,any dt signs nns
any type,any dt type nn
any unit,any dt unit nn
any unusal,any dt unusal jj
any vibrations,any dt vibrations nns
any visible,any dt visible jj
any visual,any dt visual jj
any water,any dt water nn
anyone,anyone nn
anything,anything nn
apparatus,apparatus nn
appeared,appeared vbd
appears clean,appears vbz clean jj
applicable,applicable jj
applied,applied vbn
apply,apply vb
apply performed,apply nn performed vbd
approval,approval nn
approved,approved vbn
april,april nn
aqua,aqua nn
arcing,arcing vbg
are accounted,are vbp accounted vbn
are addressed,are vbp addressed vbn
are attached,are vbp attached vbn
are bolted,are vbp bolted vbn
are carried,are vbp carried vbn
are checked,are vbp checked vbn
are cleared,are vbp cleared vbn
are closed,are vbp closed vbn
are completed,are vbp completed vbn
are connected,are vbp connected vbn
are cooled,are vbp cooled vbn
are entered,are vbp entered vbn
are formed,are vbp formed vbn
are found,are vbp found vbn
are inserted,are vbp inserted vbn
are installed,are vbp installed vbn
are labeled,are vbp labeled vbn
are located,are vbp located vbn
are marked,are vbp marked vbn
are noted,are vbp noted vbn
are ohms,are vbp ohms jj
are purged,are vbp purged vbn
are recorded,are vbp recorded vbn
are removed,are vbp removed vbn
are run,are vbp run vbn
are sealed,are vbp sealed vbn
are secure,are vbp secure nn
are secured,are vbp secured vbn
are set,are vbp set vbn
are tight,are vbp tight jj
are tightened,are vbp tightened vbn
are tripped,are vbp tripped vbn
area,area nn
arent,arent nn
ares,ares nns
around ac motor,around in_pos ac nns motor nn
around motor,around in_pos motor nn
around ohms,around in_pos ohms nns
around pumped,around in_pos pumped vbd
arranged,arranged vbn
arrester,arrester nn
arrester present,arrester nn present nn
arrestor,arrestor nn
arrived,arrived vbn
arrives,arrives nns
as air,as in_pos air nn
as below i,as in_pos below in_pos i nn
as cooling,as in_pos cooling nn
as design,as in_pos design nn
as designed,as in_pos designed vbn
as i,as in_pos i nn
as intended,as in_pos intended vbn
as lubrification,as in_pos lubrification nn
as manufacture,as in_pos manufacture nn
as motor,as in_pos motor nn
as n,as in_pos n nn
as nameplate,as in_pos nameplate nn
as nameplate refer,as in_pos nameplate jj refer nn
as needed note,as in_pos needed vbn note nn
as oem,as in_pos oem nn
as of july,as in_pos of in_pos july nn
as pass,as in_pos pass nn
as per chart,as in_pos per in_pos chart nn
as per check,as in_pos per in_pos check nn
as per chief,as in_pos per nn chief nn
as per company,as in_pos per in_pos company nn
as per day,as in_pos per in_pos day nn
as per discussion,as in_pos per in_pos discussion nn
as per feedback,as in_pos per in_pos feedback nn
as per job,as in_pos per in_pos job nn
as per manufacturer,as in_pos per in_pos manufacturer nn
as per nov,as in_pos per in_pos nov nn
as per oem,as in_pos per in_pos oem nn
as per pm,as in_pos per in_pos pm nn
as per pmmegger,as in_pos per in_pos pmmegger nn
as per procedure,as in_pos per in_pos procedure nn
as per recommendation,as in_pos per in_pos recommendation nn
as per report,as in_pos per in_pos report nn
as per rig,as in_pos per in_pos rig nn
as per rms,as in_pos per in_pos rms nns
as per scehdule,as in_pos per in_pos scehdule nn
as per task,as in_pos per in_pos task nn
as per ther,as in_pos per in_pos ther nn
as per wchb,as in_pos per in_pos wchb nn
as required equipment,as in_pos required vbn equipment nn
as required motor,as in_pos required vbn motor nn
as required note,as in_pos required vbn note nn
as requiredok,as in_pos requiredok nn
as well,as in_pos well rb
asked,asked vbn
aspects,aspects nns
assemaly,assemaly nn
assembled,assembled vbn
assembling,assembling vbg
assembly,assembly rb
assembly good,assembly rb good jj
assemblywe,assemblywe nn
assigned,assigned vbn
assist,assist nn
assistance,assistance nn
assisted,assisted vbn
associated,associated vbn
assurance,assurance nn
at ambient,at in_pos ambient nn
at ambient motor,at in_pos ambient jj motor nn
at ambient room,at in_pos ambient jj room nn
at correct run,at in_pos correct jj run nn
at correct temperature,at in_pos correct jj temperature nn
at deck,at in_pos deck nn
at eow,at in_pos eow nn
at full load,at in_pos full jj load nn
at fvd perform,at in_pos fvd jj perform nn
at good condition,at in_pos good jj condition nn
at in wc,at in_pos in in_pos wc nn
at kv,at in_pos kv nn
at load side,at in_pos load jj side nn
at manual gauge,at in_pos manual jj gauge nn
at mcc,at in_pos mcc nn
at mcc starter,at in_pos mcc rbs starter nn
at moment,at in_pos moment nn
at motor,at in_pos motor nn
at mud pump,at in_pos mud rbs pump nn
at nde,at in_pos nde nn
at next pm,at in_pos next jj pm nn
at nonhazardous area,at in_pos nonhazardous jj area nn
at ohm,at in_pos ohm nn
at ohms,at in_pos ohms nn
at ohms panel,at in_pos ohms jj panel nn
at ohms push,at in_pos ohms jj push nn
at ohms step,at in_pos ohms jj step nn
at prm,at in_pos prm nn
at psi,at in_pos psi nn
at rpm,at in_pos rpm nn
at serial number,at in_pos serial jj number nn
at terminal box,at in_pos terminal jj box nn
at termination,at in_pos termination nn
at time,at in_pos time nn
at v,at in_pos v nn
at vac,at in_pos vac nn
at vdc,at in_pos vdc nn
at vfd,at in_pos vfd nn
atsks,atsks nns
attached,attached vbn
attatched,attatched vbn
attched,attched vbn
attempt,attempt nn
attempted,attempted vbn
attention,attention nn
aug,aug nn
auto,auto nn
automated,automated vbn
automatically overwritten,automatically rb overwritten vb
aux,aux nn
auxialiries,auxialiries nns
auxiliaries,auxiliaries nns
auxmotors,auxmotors nns
availability,availability nn
available,available jj
availlable,availlable jj
awaiting,awaiting vbg
aware,aware jj
ay,ay nn
ayer,ayer nn
az,az nn
b,b nn
b motor,b nn motor nn
back,back rb
back due,back rb due jj
back from overhaul,back rb from in_pos overhaul nn
back in good condition,back rb in in_pos good jj condition nn
back in motor,back rb in in_pos motor nn
back in place,back rb in in_pos place nn
back in serive,back rb in in_pos serive nn
back in service,back rb in in_pos service nn
back into alarm,back rb into in_pos alarm nn
back into service,back rb into in_pos service nn
back on board,back rb on in_pos board nn
back on isolated motor,back rb on in_pos isolated jj motor nn
back on line,back rb on in_pos line nn
back on motor,back rb on in_pos motor nn
back on n,back rb on in_pos n nn
back on service,back rb on in_pos service nn
back opened,back rb opened vbn
bad,bad jj
badly corroded,badly rb corroded vbd
bag,bag nn
