phrases,tagged_phrases,dummy_labels,POS_TAGS_OF_PHRASE
a basic,a dt basic jj,1,<DT><JJ>
a bearings were,a dt bearings nns were vbd,1,<DT><NNS><VBD>
a clean,a dt clean jj,1,<DT><JJ>
a closed,a dt closed vbd,1,<DT><VBD>
a cm related,a dt cm nn related vbn,1,<DT><NN><VBN>
a common,a dt common jj,1,<DT><JJ>
a complete,a dt complete jj,1,<DT><JJ>
a did,a dt did vbd,1,<DT><VBD>
a examined,a dt examined jj,1,<DT><JJ>
a few,a dt few jj,1,<DT><JJ>
a full,a dt full jj,1,<DT><JJ>
a good,a dt good jj,1,<DT><JJ>
a grounded,a dt grounded jj,1,<DT><JJ>
a inispected,a dt inispected jj,1,<DT><JJ>
a inspected,a dt inspected jj,1,<DT><JJ>
a isolated,a dt isolated jj,1,<DT><JJ>
a like,a dt like jj,1,<DT><JJ>
a little,a dt little jj,1,<DT><JJ>
a long,a dt long jj,1,<DT><JJ>
a loose,a dt loose jj,1,<DT><JJ>
a low,a dt low jj,1,<DT><JJ>
a lubricated,a dt lubricated jj,1,<DT><JJ>
a machined,a dt machined jj,1,<DT><JJ>
a main,a dt main jj,1,<DT><JJ>
a major,a dt major jj,1,<DT><JJ>
a minor,a dt minor jj,1,<DT><JJ>
a motor current,a dt motor nn current jj,1,<DT><NN><JJ>
a motor high,a dt motor nn high jj,1,<DT><NN><JJ>
a motor local,a dt motor nn local jj,1,<DT><NN><JJ>
a new,a dt new jj,1,<DT><JJ>
a normal,a dt normal jj,1,<DT><JJ>
a previous,a dt previous jj,1,<DT><JJ>
a ready,a dt ready jj,1,<DT><JJ>
a recent,a dt recent jj,1,<DT><JJ>
a red,a dt red jj,1,<DT><JJ>
a reduced,a dt reduced jj,1,<DT><JJ>
a remote,a dt remote jj,1,<DT><JJ>
a removed,a dt removed vbd,1,<DT><VBD>
a replaced,a dt replaced jj,1,<DT><JJ>
a safe,a dt safe jj,1,<DT><JJ>
a satisfactory,a dt satisfactory jj,1,<DT><JJ>
a sealed,a dt sealed jj,1,<DT><JJ>
a second,a dt second jj,1,<DT><JJ>
a significant,a dt significant jj,1,<DT><JJ>
a small,a dt small jj,1,<DT><JJ>
a strong,a dt strong jj,1,<DT><JJ>
a suitable,a dt suitable jj,1,<DT><JJ>
a third,a dt third jj,1,<DT><JJ>
a thru complete,a dt thru nn complete jj,1,<DT><NN><JJ>
a unable,a dt unable jj,1,<DT><JJ>
a verified,a dt verified jj,1,<DT><JJ>
a viable,a dt viable jj,1,<DT><JJ>
a visual,a dt visual jj,1,<DT><JJ>
a was,a dt was vbd,1,<DT><VBD>
able,able jj,1,<JJ>
abnormal,abnormal jj,1,<JJ>
abnormal noticed,abnormal nn noticed vbd,1,<NN><VBD>
abnormalities blower,abnormalities nns blower vbp,1,<NNS><VBP>
