phrases,tagged_phrases,dummy_labels,POS_TAGS_OF_PHRASE
a ac,a dt ac nn,1,<DT><NN>
a amp,a dt amp nn,1,<DT><NN>
a amperage,a dt amperage nn,1,<DT><NN>
a amps,a dt amps nn,1,<DT><NN>
a aux,a dt aux nn,1,<DT><NN>
a b,a dt b nn,1,<DT><NN>
a backup,a dt backup nn,1,<DT><NN>
a ball,a dt ball nn,1,<DT><NN>
a barring,a dt barring nn,1,<DT><NN>
a basic,a dt basic jj,1,<DT><JJ>
a bearing,a dt bearing nn,1,<DT><NN>
a bearings,a dt bearings nns,1,<DT><NNS>
a because,a dt because nn,1,<DT><NN>
a bit,a dt bit nn,1,<DT><NN>
a blades,a dt blades nns,1,<DT><NNS>
a blower,a dt blower nn,1,<DT><NN>
a bolts,a dt bolts nn,1,<DT><NN>
a booster,a dt booster nn,1,<DT><NN>
a cables,a dt cables nns,1,<DT><NNS>
a calibration,a dt calibration nn,1,<DT><NN>
a call,a dt call nn,1,<DT><NN>
a carbon,a dt carbon nn,1,<DT><NN>
a chance,a dt chance nn,1,<DT><NN>
a change,a dt change nn,1,<DT><NN>
a check,a dt check nn,1,<DT><NN>
a checked,a dt checked nn,1,<DT><NN>
a clean,a dt clean jj,1,<DT><JJ>
a cleaning,a dt cleaning nn,1,<DT><NN>
a close,a dt close nn,1,<DT><NN>
a closed,a dt closed vbd,1,<DT><VBD>
a cm,a dt cm nn,1,<DT><NN>
a coat,a dt coat nn,1,<DT><NN>
a common,a dt common jj,1,<DT><JJ>
a complete,a dt complete jj,1,<DT><JJ>
a concern,a dt concern nn,1,<DT><NN>
a confirmed,a dt confirmed nn,1,<DT><NN>
a copy,a dt copy nn,1,<DT><NN>
a correct,a dt correct nn,1,<DT><NN>
a covers,a dt covers nns,1,<DT><NNS>
a day,a dt day nn,1,<DT><NN>
a dec,a dt dec nn,1,<DT><NN>
a decision,a dt decision nn,1,<DT><NN>
a degrading,a dt degrading nn,1,<DT><NN>
a demister,a dt demister nn,1,<DT><NN>
a did,a dt did vbd,1,<DT><VBD>
a differant,a dt differant nn,1,<DT><NN>
a distance,a dt distance nn,1,<DT><NN>
a drive,a dt drive nn,1,<DT><NN>
a duct,a dt duct nn,1,<DT><NN>
a ducting,a dt ducting nn,1,<DT><NN>
a duplicate,a dt duplicate nn,1,<DT><NN>
a earth,a dt earth nn,1,<DT><NN>
a end,a dt end nn,1,<DT><NN>
a ex,a dt ex nn,1,<DT><NN>
a examined,a dt examined jj,1,<DT><JJ>
a f,a dt f nn,1,<DT><NN>
a failure,a dt failure nn,1,<DT><NN>
a fastners,a dt fastners nns,1,<DT><NNS>
a few,a dt few jj,1,<DT><JJ>
a follow,a dt follow nn,1,<DT><NN>
a full,a dt full jj,1,<DT><JJ>
a function,a dt function nn,1,<DT><NN>
