phrases,tagged_phrases,Tags,POS_TAGS_OF_PHRASE
a ac,a dt ac nn,DT NN,<DT><NN>
a amp,a dt amp nn,DT NN,<DT><NN>
a amperage,a dt amperage nn,DT NN,<DT><NN>
a amps,a dt amps nn,DT NN,<DT><NN>
a aux,a dt aux nn,DT NN,<DT><NN>
a b,a dt b nn,DT NN,<DT><NN>
a backup,a dt backup nn,DT NN,<DT><NN>
a ball,a dt ball nn,DT NN,<DT><NN>
a barring,a dt barring nn,DT NN,<DT><NN>
a basic,a dt basic jj,DT JJ,<DT><JJ>
a bearing,a dt bearing nn,DT NN,<DT><NN>
a bearings,a dt bearings nns,DT NNS,<DT><NNS>
a because,a dt because nn,DT NN,<DT><NN>
a bit,a dt bit nn,DT NN,<DT><NN>
a blades,a dt blades nns,DT NNS,<DT><NNS>
a blower,a dt blower nn,DT NN,<DT><NN>
a bolts,a dt bolts nn,DT NN,<DT><NN>
a booster,a dt booster nn,DT NN,<DT><NN>
a cables,a dt cables nns,DT NNS,<DT><NNS>
a calibration,a dt calibration nn,DT NN,<DT><NN>
a call,a dt call nn,DT NN,<DT><NN>
a carbon,a dt carbon nn,DT NN,<DT><NN>
a chance,a dt chance nn,DT NN,<DT><NN>
a change,a dt change nn,DT NN,<DT><NN>
a check,a dt check nn,DT NN,<DT><NN>
a checked,a dt checked nn,DT NN,<DT><NN>
a clean,a dt clean jj,DT JJ,<DT><JJ>
a cleaning,a dt cleaning nn,DT NN,<DT><NN>
a close,a dt close nn,DT NN,<DT><NN>
a closed,a dt closed vbd,DT VBD,<DT><VBD>
a cm,a dt cm nn,DT NN,<DT><NN>
a coat,a dt coat nn,DT NN,<DT><NN>
a common,a dt common jj,DT JJ,<DT><JJ>
a complete,a dt complete jj,DT JJ,<DT><JJ>
a concern,a dt concern nn,DT NN,<DT><NN>
a confirmed,a dt confirmed nn,DT NN,<DT><NN>
a copy,a dt copy nn,DT NN,<DT><NN>
a correct,a dt correct nn,DT NN,<DT><NN>
a covers,a dt covers nns,DT NNS,<DT><NNS>
a day,a dt day nn,DT NN,<DT><NN>
a dec,a dt dec nn,DT NN,<DT><NN>
a decision,a dt decision nn,DT NN,<DT><NN>
a degrading,a dt degrading nn,DT NN,<DT><NN>
a demister,a dt demister nn,DT NN,<DT><NN>
a did,a dt did vbd,DT VBD,<DT><VBD>
a differant,a dt differant nn,DT NN,<DT><NN>
a distance,a dt distance nn,DT NN,<DT><NN>
a drive,a dt drive nn,DT NN,<DT><NN>
a duct,a dt duct nn,DT NN,<DT><NN>
a ducting,a dt ducting nn,DT NN,<DT><NN>
a duplicate,a dt duplicate nn,DT NN,<DT><NN>
a earth,a dt earth nn,DT NN,<DT><NN>
a end,a dt end nn,DT NN,<DT><NN>
a ex,a dt ex nn,DT NN,<DT><NN>
a examined,a dt examined jj,DT JJ,<DT><JJ>
a f,a dt f nn,DT NN,<DT><NN>
a failure,a dt failure nn,DT NN,<DT><NN>
a fastners,a dt fastners nns,DT NNS,<DT><NNS>
a few,a dt few jj,DT JJ,<DT><JJ>
a follow,a dt follow nn,DT NN,<DT><NN>
a full,a dt full jj,DT JJ,<DT><JJ>
a function,a dt function nn,DT NN,<DT><NN>
a fwd,a dt fwd nn,DT NN,<DT><NN>
a good,a dt good jj,DT JJ,<DT><JJ>
a graph,a dt graph nn,DT NN,<DT><NN>
a grinder,a dt grinder nn,DT NN,<DT><NN>
a ground,a dt ground nn,DT NN,<DT><NN>
a grounded,a dt grounded jj,DT JJ,<DT><JJ>
a heater,a dt heater nn,DT NN,<DT><NN>
a hh,a dt hh nn,DT NN,<DT><NN>
a hole,a dt hole nn,DT NN,<DT><NN>
a i,a dt i nn,DT NN,<DT><NN>
a icn,a dt icn nn,DT NN,<DT><NN>
a impeller,a dt impeller nn,DT NN,<DT><NN>
a inch,a dt inch nn,DT NN,<DT><NN>
a inispected,a dt inispected jj,DT JJ,<DT><JJ>
a inspected,a dt inspected jj,DT JJ,<DT><JJ>
a inspection,a dt inspection nn,DT NN,<DT><NN>
a investigations,a dt investigations nns,DT NNS,<DT><NNS>
a ir,a dt ir nn,DT NN,<DT><NN>
a isolate,a dt isolate nn,DT NN,<DT><NN>
a isolated,a dt isolated jj,DT JJ,<DT><JJ>
a isolation,a dt isolation nn,DT NN,<DT><NN>
a j,a dt j nn,DT NN,<DT><NN>
a knocking,a dt knocking nn,DT NN,<DT><NN>
a later,a dt later nn,DT NN,<DT><NN>
a leaks,a dt leaks nn,DT NN,<DT><NN>
a lifting,a dt lifting nn,DT NN,<DT><NN>
a like,a dt like jj,DT JJ,<DT><JJ>
a little,a dt little jj,DT JJ,<DT><JJ>
a long,a dt long jj,DT JJ,<DT><JJ>
a look,a dt look nn,DT NN,<DT><NN>
a loose,a dt loose jj,DT JJ,<DT><JJ>
a lot,a dt lot nn,DT NN,<DT><NN>
a louver,a dt louver nn,DT NN,<DT><NN>
a louvers,a dt louvers nns,DT NNS,<DT><NNS>
a low,a dt low jj,DT JJ,<DT><JJ>
a lubricated,a dt lubricated jj,DT JJ,<DT><JJ>
a m,a dt m nn,DT NN,<DT><NN>
a machined,a dt machined jj,DT JJ,<DT><JJ>
a made,a dt made nn,DT NN,<DT><NN>
a main,a dt main jj,DT JJ,<DT><JJ>
a major,a dt major jj,DT JJ,<DT><JJ>
a make,a dt make nn,DT NN,<DT><NN>
a maximum,a dt maximum nn,DT NN,<DT><NN>
a meg,a dt meg nn,DT NN,<DT><NN>
a megger,a dt megger nn,DT NN,<DT><NN>
a megohmeter,a dt megohmeter nn,DT NN,<DT><NN>
a min,a dt min nn,DT NN,<DT><NN>
a minmohms,a dt minmohms nn,DT NN,<DT><NN>
a minor,a dt minor jj,DT JJ,<DT><JJ>
a minute,a dt minute nn,DT NN,<DT><NN>
a mm,a dt mm nn,DT NN,<DT><NN>
a mohms,a dt mohms nn,DT NN,<DT><NN>
a motor,a dt motor nn,DT NN,<DT><NN>
a mounting,a dt mounting nn,DT NN,<DT><NN>
a mud,a dt mud nn,DT NN,<DT><NN>
a n,a dt n nn,DT NN,<DT><NN>
a nalfleet,a dt nalfleet nn,DT NN,<DT><NN>
a nde,a dt nde nn,DT NN,<DT><NN>
a new,a dt new jj,DT JJ,<DT><JJ>
a non,a dt non nn,DT NN,<DT><NN>
a normal,a dt normal jj,DT JJ,<DT><JJ>
a note,a dt note nn,DT NN,<DT><NN>
a operation,a dt operation nn,DT NN,<DT><NN>
a pass,a dt pass nn,DT NN,<DT><NN>
