phrases,tagged_phrases,Tags,POS_TAGS_OF_PHRASE,dummy_labels
a ac,a dt ac nn,DT NN,<DT><NN>,1
a amp,a dt amp nn,DT NN,<DT><NN>,1
a amperage,a dt amperage nn,DT NN,<DT><NN>,1
a amps,a dt amps nn,DT NN,<DT><NN>,1
a aux,a dt aux nn,DT NN,<DT><NN>,1
a b,a dt b nn,DT NN,<DT><NN>,1
a backup,a dt backup nn,DT NN,<DT><NN>,1
a ball,a dt ball nn,DT NN,<DT><NN>,1
a barring,a dt barring nn,DT NN,<DT><NN>,1
a basic,a dt basic jj,DT JJ,<DT><JJ>,1
a bearing,a dt bearing nn,DT NN,<DT><NN>,1
a bearings,a dt bearings nns,DT NNS,<DT><NNS>,1
a because,a dt because nn,DT NN,<DT><NN>,1
a bit,a dt bit nn,DT NN,<DT><NN>,1
a blades,a dt blades nns,DT NNS,<DT><NNS>,1
a blower,a dt blower nn,DT NN,<DT><NN>,1
a bolts,a dt bolts nn,DT NN,<DT><NN>,1
a booster,a dt booster nn,DT NN,<DT><NN>,1
a cables,a dt cables nns,DT NNS,<DT><NNS>,1
a calibration,a dt calibration nn,DT NN,<DT><NN>,1
a call,a dt call nn,DT NN,<DT><NN>,1
a carbon,a dt carbon nn,DT NN,<DT><NN>,1
a chance,a dt chance nn,DT NN,<DT><NN>,1
a change,a dt change nn,DT NN,<DT><NN>,1
a check,a dt check nn,DT NN,<DT><NN>,1
a checked,a dt checked nn,DT NN,<DT><NN>,1
a clean,a dt clean jj,DT JJ,<DT><JJ>,1
a cleaning,a dt cleaning nn,DT NN,<DT><NN>,1
a close,a dt close nn,DT NN,<DT><NN>,1
a closed,a dt closed vbd,DT VBD,<DT><VBD>,1
a cm,a dt cm nn,DT NN,<DT><NN>,1
a coat,a dt coat nn,DT NN,<DT><NN>,1
a common,a dt common jj,DT JJ,<DT><JJ>,1
a complete,a dt complete jj,DT JJ,<DT><JJ>,1
a concern,a dt concern nn,DT NN,<DT><NN>,1
a confirmed,a dt confirmed nn,DT NN,<DT><NN>,1
a copy,a dt copy nn,DT NN,<DT><NN>,1
a correct,a dt correct nn,DT NN,<DT><NN>,1
a covers,a dt covers nns,DT NNS,<DT><NNS>,1
a day,a dt day nn,DT NN,<DT><NN>,1
a dec,a dt dec nn,DT NN,<DT><NN>,1
a decision,a dt decision nn,DT NN,<DT><NN>,1
a degrading,a dt degrading nn,DT NN,<DT><NN>,1
a demister,a dt demister nn,DT NN,<DT><NN>,1
a did,a dt did vbd,DT VBD,<DT><VBD>,1
a differant,a dt differant nn,DT NN,<DT><NN>,1
a distance,a dt distance nn,DT NN,<DT><NN>,1
a drive,a dt drive nn,DT NN,<DT><NN>,1
