phrases,tagged_phrases,phrases_for_model,phrases_for_model_index,predicted_class,predicted_class_probabilities,indicator_of_score
a air,a dt air nn,"['a', 'dt', 'air', 'nn']","[27, 4375, 409, 4373]",0,"[0.9082897, 0.03431511, 0.01079157]",0
a area,a dt area nn,"['a', 'dt', 'area', 'nn']","[27, 4375, 314, 4373]",0,"[0.91338813, 0.041873485, 0.00826928]",0
a b,a dt b nn,"['a', 'dt', 'b', 'nn']","[27, 4375, 277, 4373]",0,"[0.9222257, 0.041035235, 0.0063946247]",0
a barring,a dt barring nn,"['a', 'dt', 'barring', 'nn']","[27, 4375, 1330, 4373]",0,"[0.80260456, 0.037962288, 0.030015558]",0
a bearing,a dt bearing nn,"['a', 'dt', 'bearing', 'nn']","[27, 4375, 48, 4373]",2,"[0.019780517, 0.002352953, 0.939628]",0
a belet,a dt belet nn,"['a', 'dt', 'belet', 'nn']","[27, 4375, 4212, 4373]",0,"[0.9811093, 0.0048727393, 0.0013824701]",0
a belt,a dt belt nn,"['a', 'dt', 'belt', 'nn']","[27, 4375, 84, 4373]",0,"[0.9531064, 0.043786228, 0.0018390119]",0
a bit,a dt bit nn,"['a', 'dt', 'bit', 'nn']","[27, 4375, 2094, 4373]",0,"[0.9085738, 0.016886115, 0.010257691]",0
a black,a dt black jj,"['a', 'dt', 'black', 'jj']","[27, 4375, 989, 4378]",0,"[0.98278916, 0.004723251, 0.005181223]",0
a blower,a dt blower nn,"['a', 'dt', 'blower', 'nn']","[27, 4375, 412, 4373]",0,"[0.91870487, 0.034558296, 0.010549217]",0
a boat,a dt boat nn,"['a', 'dt', 'boat', 'nn']","[27, 4375, 3185, 4373]",0,"[0.97007227, 0.006412655, 0.0024469197]",0
a bolt,a dt bolt nn,"['a', 'dt', 'bolt', 'nn']","[27, 4375, 544, 4373]",0,"[0.9041871, 0.029042006, 0.013143152]",0
a calculated,a dt calculated jj,"['a', 'dt', 'calculated', 'jj']","[27, 4375, 4000, 4378]",0,"[0.9980186, 0.000531435, 0.00031092763]",1
a calibration,a dt calibration nn,"['a', 'dt', 'calibration', 'nn']","[27, 4375, 802, 4373]",0,"[0.8720428, 0.027028203, 0.02355194]",0
a call,a dt call nn,"['a', 'dt', 'call', 'nn']","[27, 4375, 1413, 4373]",0,"[0.8153063, 0.035904735, 0.028995007]",0
a cement,a dt cement nn,"['a', 'dt', 'cement', 'nn']","[27, 4375, 1106, 4373]",0,"[0.8483761, 0.030878752, 0.025972247]",0
